Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Austria,Austria,AT,87.38,115.71,90.26,81.72,entsoe.eu,false,
2024-01-01 01:00:00,Austria,Austria,AT,71.86,98.82,91.84,84.74,entsoe.eu,false,
2024-01-01 02:00:00,Austria,Austria,AT,53.39,78.65,93.78,88.84,entsoe.eu,false,
2024-01-01 03:00:00,Austria,Austria,AT,48.72,73.69,94.25,89.98,entsoe.eu,false,
2024-01-01 04:00:00,Austria,Austria,AT,57.83,83.8,93.28,87.78,entsoe.eu,false,
2024-01-01 05:00:00,Austria,Austria,AT,70.28,97.31,92.05,84.08,entsoe.eu,false,
2024-01-01 06:00:00,Austria,Austria,AT,67.65,94.59,92.29,84.96,entsoe.eu,false,
2024-01-01 07:00:00,Austria,Austria,AT,68.93,95.92,92.19,84.52,entsoe.eu,false,
2024-01-01 08:00:00,Austria,Austria,AT,57.12,83.15,93.48,87.21,entsoe.eu,false,
2024-01-01 09:00:00,Austria,Austria,AT,54.46,81.47,93.65,88.56,entsoe.eu,false,
2024-01-01 10:00:00,Austria,Austria,AT,44.63,71.23,94.66,91.13,entsoe.eu,false,
2024-01-01 11:00:00,Austria,Austria,AT,38.6,64.31,95.34,92.23,entsoe.eu,false,
2024-01-01 12:00:00,Austria,Austria,AT,33.65,58.36,95.92,93.05,entsoe.eu,false,
2024-01-01 13:00:00,Austria,Austria,AT,36.86,61.37,95.59,90.99,entsoe.eu,false,
2024-01-01 14:00:00,Austria,Austria,AT,45.53,68.98,95.03,87.32,entsoe.eu,false,
2024-01-01 15:00:00,Austria,Austria,AT,77.07,68.71,96.68,90.16,entsoe.eu,false,
2024-01-01 16:00:00,Austria,Austria,AT,88.77,73.39,96.58,90.35,entsoe.eu,false,
2024-01-01 17:00:00,Austria,Austria,AT,83.18,70.25,96.74,90.52,entsoe.eu,false,
2024-01-01 18:00:00,Austria,Austria,AT,81.69,70.71,96.54,90.75,entsoe.eu,false,
2024-01-01 19:00:00,Austria,Austria,AT,68.92,68.54,96.08,89.72,entsoe.eu,false,
2024-01-01 20:00:00,Austria,Austria,AT,58.9,69.27,95.66,88.12,entsoe.eu,false,
2024-01-01 21:00:00,Austria,Austria,AT,54.33,66.91,95.65,87.24,entsoe.eu,false,
2024-01-01 22:00:00,Austria,Austria,AT,42.42,64.84,95.03,86.25,entsoe.eu,false,
2024-01-01 23:00:00,Austria,Austria,AT,47.86,72.29,94.13,84.22,entsoe.eu,false,
2024-01-02 00:00:00,Austria,Austria,AT,41.92,66.85,94.51,85.17,entsoe.eu,false,
2024-01-02 01:00:00,Austria,Austria,AT,50.49,76.14,93.69,83.86,entsoe.eu,false,
2024-01-02 02:00:00,Austria,Austria,AT,49.86,75.7,93.72,83.45,entsoe.eu,false,
2024-01-02 03:00:00,Austria,Austria,AT,62.38,90.12,92.15,81.78,entsoe.eu,false,
