Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Costa Rica,Costa Rica,CR,0.37,26.01,99.9,99.9,grupoice.com,false,
2024-01-01 01:00:00,Costa Rica,Costa Rica,CR,0.02,25.66,100.0,100.0,grupoice.com,false,
2024-01-01 02:00:00,Costa Rica,Costa Rica,CR,0.68,26.54,99.82,99.82,grupoice.com,false,
2024-01-01 03:00:00,Costa Rica,Costa Rica,CR,0.51,26.6,99.86,99.86,grupoice.com,false,
2024-01-01 04:00:00,Costa Rica,Costa Rica,CR,0.29,26.34,99.92,99.92,grupoice.com,false,
2024-01-01 05:00:00,Costa Rica,Costa Rica,CR,0.42,26.7,99.89,99.89,grupoice.com,false,
2024-01-01 06:00:00,Costa Rica,Costa Rica,CR,0.38,26.39,99.9,99.9,grupoice.com,false,
2024-01-01 07:00:00,Costa Rica,Costa Rica,CR,0.9,27.15,99.76,99.76,grupoice.com,false,
2024-01-01 08:00:00,Costa Rica,Costa Rica,CR,0.09,25.97,99.98,99.98,grupoice.com,false,
2024-01-01 09:00:00,Costa Rica,Costa Rica,CR,0.65,27.0,99.83,99.83,grupoice.com,false,
2024-01-01 10:00:00,Costa Rica,Costa Rica,CR,0.58,27.08,99.84,99.84,grupoice.com,false,
2024-01-01 11:00:00,Costa Rica,Costa Rica,CR,0.48,26.72,99.87,99.87,grupoice.com,false,
2024-01-01 12:00:00,Costa Rica,Costa Rica,CR,1.13,27.99,99.7,99.7,grupoice.com,false,
2024-01-01 13:00:00,Costa Rica,Costa Rica,CR,0.03,26.94,99.99,99.99,grupoice.com,false,
2024-01-01 14:00:00,Costa Rica,Costa Rica,CR,0.04,26.9,99.99,99.99,grupoice.com,false,
2024-01-01 15:00:00,Costa Rica,Costa Rica,CR,0.06,26.55,99.98,99.98,grupoice.com,false,
2024-01-01 16:00:00,Costa Rica,Costa Rica,CR,0.03,26.25,99.99,99.99,grupoice.com,false,
2024-01-01 17:00:00,Costa Rica,Costa Rica,CR,0.0,26.0,100.0,100.0,grupoice.com,false,
2024-01-01 18:00:00,Costa Rica,Costa Rica,CR,0.1,26.02,99.97,99.97,grupoice.com,false,
2024-01-01 19:00:00,Costa Rica,Costa Rica,CR,0.24,26.25,99.94,99.94,grupoice.com,false,
2024-01-01 20:00:00,Costa Rica,Costa Rica,CR,0.21,26.27,99.94,99.94,grupoice.com,false,
2024-01-01 21:00:00,Costa Rica,Costa Rica,CR,0.07,26.16,99.98,99.98,grupoice.com,false,
2024-01-01 22:00:00,Costa Rica,Costa Rica,CR,0.05,26.07,99.99,99.99,grupoice.com,false,
2024-01-01 23:00:00,Costa Rica,Costa Rica,CR,0.05,25.93,99.99,99.99,grupoice.com,false,
2024-01-02 00:00:00,Costa Rica,Costa Rica,CR,0.26,25.93,99.93,99.93,grupoice.com,false,
2024-01-02 01:00:00,Costa Rica,Costa Rica,CR,0.26,25.93,99.93,99.93,grupoice.com,false,
2024-01-02 02:00:00,Costa Rica,Costa Rica,CR,0.87,26.7,99.77,99.77,grupoice.com,false,
2024-01-02 03:00:00,Costa Rica,Costa Rica,CR,0.44,26.17,99.89,99.89,grupoice.com,false,
2024-01-02 04:00:00,Costa Rica,Costa Rica,CR,1.09,27.23,99.72,99.72,grupoice.com,false,
2024-01-02 05:00:00,Costa Rica,Costa Rica,CR,0.32,26.35,99.92,99.92,grupoice.com,false,
2024-01-02 06:00:00,Costa Rica,Costa Rica,CR,1.19,29.43,99.71,99.71,grupoice.com,false,
2024-01-02 07:00:00,Costa Rica,Costa Rica,CR,1.16,29.53,99.71,99.71,grupoice.com,false,
2024-01-02 08:00:00,Costa Rica,Costa Rica,CR,1.04,28.55,99.74,99.74,grupoice.com,false,
2024-01-02 09:00:00,Costa Rica,Costa Rica,CR,1.87,29.78,99.53,99.53,grupoice.com,false,
2024-01-02 10:00:00,Costa Rica,Costa Rica,CR,1.83,30.11,99.54,99.54,grupoice.com,false,
2024-01-02 11:00:00,Costa Rica,Costa Rica,CR,1.91,30.52,99.52,99.52,grupoice.com,false,
2024-01-02 12:00:00,Costa Rica,Costa Rica,CR,1.65,29.71,99.59,99.59,grupoice.com,false,
2024-01-02 13:00:00,Costa Rica,Costa Rica,CR,1.58,29.1,99.6,99.6,grupoice.com,false,
2024-01-02 14:00:00,Costa Rica,Costa Rica,CR,1.12,28.11,99.72,99.72,grupoice.com,false,
2024-01-02 15:00:00,Costa Rica,Costa Rica,CR,2.06,29.54,99.48,99.48,grupoice.com,false,
2024-01-02 16:00:00,Costa Rica,Costa Rica,CR,1.59,28.89,99.61,99.61,grupoice.com,false,
2024-01-02 17:00:00,Costa Rica,Costa Rica,CR,2.09,29.7,99.48,99.48,grupoice.com,false,
2024-01-02 18:00:00,Costa Rica,Costa Rica,CR,0.54,26.59,99.87,99.87,grupoice.com,false,
2024-01-02 19:00:00,Costa Rica,Costa Rica,CR,0.84,27.26,99.79,99.79,grupoice.com,false,
2024-01-02 20:00:00,Costa Rica,Costa Rica,CR,1.38,28.64,99.66,99.66,grupoice.com,false,
2024-01-02 21:00:00,Costa Rica,Costa Rica,CR,0.18,26.25,99.95,99.95,grupoice.com,false,
2024-01-02 22:00:00,Costa Rica,Costa Rica,CR,0.06,26.0,99.98,99.98,grupoice.com,false,
2024-01-02 23:00:00,Costa Rica,Costa Rica,CR,0.94,27.12,99.76,99.76,grupoice.com,false,
2024-01-03 00:00:00,Costa Rica,Costa Rica,CR,0.81,26.87,99.79,99.79,grupoice.com,false,
2024-01-03 01:00:00,Costa Rica,Costa Rica,CR,0.2,26.11,99.95,99.95,grupoice.com,false,
2024-01-03 02:00:00,Costa Rica,Costa Rica,CR,0.04,25.99,99.99,99.99,grupoice.com,false,
2024-01-03 03:00:00,Costa Rica,Costa Rica,CR,0.07,26.22,99.98,99.98,grupoice.com,false,
2024-01-03 04:00:00,Costa Rica,Costa Rica,CR,0.88,28.73,99.78,99.78,grupoice.com,false,
2024-01-03 05:00:00,Costa Rica,Costa Rica,CR,1.08,29.7,99.73,99.73,grupoice.com,false,
2024-01-03 06:00:00,Costa Rica,Costa Rica,CR,0.2,27.0,99.95,99.95,grupoice.com,false,
2024-01-03 07:00:00,Costa Rica,Costa Rica,CR,0.05,26.86,99.99,99.99,grupoice.com,false,
2024-01-03 08:00:00,Costa Rica,Costa Rica,CR,0.2,27.42,99.95,99.95,grupoice.com,false,
2024-01-03 09:00:00,Costa Rica,Costa Rica,CR,0.82,27.97,99.78,99.78,grupoice.com,false,
2024-01-03 10:00:00,Costa Rica,Costa Rica,CR,0.0,27.01,100.0,100.0,grupoice.com,false,
2024-01-03 11:00:00,Costa Rica,Costa Rica,CR,0.28,27.36,99.93,99.93,grupoice.com,false,
2024-01-03 12:00:00,Costa Rica,Costa Rica,CR,0.75,27.89,99.8,99.8,grupoice.com,false,
2024-01-03 13:00:00,Costa Rica,Costa Rica,CR,1.11,28.19,99.71,99.71,grupoice.com,false,
2024-01-03 14:00:00,Costa Rica,Costa Rica,CR,0.1,26.71,99.97,99.97,grupoice.com,false,
2024-01-03 15:00:00,Costa Rica,Costa Rica,CR,0.64,27.26,99.83,99.83,grupoice.com,false,
2024-01-03 16:00:00,Costa Rica,Costa Rica,CR,0.46,27.38,99.89,99.89,grupoice.com,false,
2024-01-03 17:00:00,Costa Rica,Costa Rica,CR,0.47,27.09,99.88,99.88,grupoice.com,false,
2024-01-03 18:00:00,Costa Rica,Costa Rica,CR,6.74,37.13,98.34,98.34,grupoice.com,false,
2024-01-03 19:00:00,Costa Rica,Costa Rica,CR,25.68,66.57,93.68,93.68,grupoice.com,false,
2024-01-03 20:00:00,Costa Rica,Costa Rica,CR,33.58,78.69,91.73,91.73,grupoice.com,false,
2024-01-03 21:00:00,Costa Rica,Costa Rica,CR,34.13,79.69,91.59,91.59,grupoice.com,false,
2024-01-03 22:00:00,Costa Rica,Costa Rica,CR,35.11,81.01,91.34,91.34,grupoice.com,false,
2024-01-03 23:00:00,Costa Rica,Costa Rica,CR,34.8,80.29,91.42,91.42,grupoice.com,false,
2024-01-04 00:00:00,Costa Rica,Costa Rica,CR,32.84,76.78,91.9,91.9,grupoice.com,false,
2024-01-04 01:00:00,Costa Rica,Costa Rica,CR,23.36,62.12,94.24,94.24,grupoice.com,false,
2024-01-04 02:00:00,Costa Rica,Costa Rica,CR,34.11,79.02,91.6,91.6,grupoice.com,false,
2024-01-04 03:00:00,Costa Rica,Costa Rica,CR,38.62,86.14,90.48,90.48,grupoice.com,false,
2024-01-04 04:00:00,Costa Rica,Costa Rica,CR,42.75,92.99,89.47,89.47,grupoice.com,false,
2024-01-04 05:00:00,Costa Rica,Costa Rica,CR,47.43,100.28,88.31,88.31,grupoice.com,false,
2024-01-04 06:00:00,Costa Rica,Costa Rica,CR,41.85,93.6,89.68,89.68,grupoice.com,false,
2024-01-04 07:00:00,Costa Rica,Costa Rica,CR,40.24,92.08,90.09,90.09,grupoice.com,false,
2024-01-04 08:00:00,Costa Rica,Costa Rica,CR,42.67,96.45,89.49,89.49,grupoice.com,false,
2024-01-04 09:00:00,Costa Rica,Costa Rica,CR,42.69,95.98,89.48,89.48,grupoice.com,false,
2024-01-04 10:00:00,Costa Rica,Costa Rica,CR,40.12,91.63,90.12,90.12,grupoice.com,false,
2024-01-04 11:00:00,Costa Rica,Costa Rica,CR,57.46,115.9,85.84,85.84,grupoice.com,false,
2024-01-04 12:00:00,Costa Rica,Costa Rica,CR,42.74,93.5,89.47,89.47,grupoice.com,false,
2024-01-04 13:00:00,Costa Rica,Costa Rica,CR,57.71,116.19,85.78,85.78,grupoice.com,false,
2024-01-04 14:00:00,Costa Rica,Costa Rica,CR,55.55,112.57,86.29,86.29,grupoice.com,false,
2024-01-04 15:00:00,Costa Rica,Costa Rica,CR,50.89,105.33,87.46,87.46,grupoice.com,false,
2024-01-04 16:00:00,Costa Rica,Costa Rica,CR,47.66,100.25,88.26,88.26,grupoice.com,false,
2024-01-04 17:00:00,Costa Rica,Costa Rica,CR,45.73,97.42,88.73,88.73,grupoice.com,false,
2024-01-04 18:00:00,Costa Rica,Costa Rica,CR,43.96,94.65,89.17,89.17,grupoice.com,false,
2024-01-04 19:00:00,Costa Rica,Costa Rica,CR,43.44,93.85,89.3,89.3,grupoice.com,false,
2024-01-04 20:00:00,Costa Rica,Costa Rica,CR,43.57,93.76,89.26,89.26,grupoice.com,false,
2024-01-04 21:00:00,Costa Rica,Costa Rica,CR,45.45,96.47,88.8,88.8,grupoice.com,false,
2024-01-04 22:00:00,Costa Rica,Costa Rica,CR,45.74,96.22,88.73,88.73,grupoice.com,false,
2024-01-04 23:00:00,Costa Rica,Costa Rica,CR,45.51,95.63,88.79,88.79,grupoice.com,false,
2024-01-05 00:00:00,Costa Rica,Costa Rica,CR,42.62,91.07,89.5,89.5,grupoice.com,false,
2024-01-05 01:00:00,Costa Rica,Costa Rica,CR,29.63,71.15,92.7,92.7,grupoice.com,false,
2024-01-05 02:00:00,Costa Rica,Costa Rica,CR,32.03,75.08,92.11,92.11,grupoice.com,false,
2024-01-05 03:00:00,Costa Rica,Costa Rica,CR,34.8,79.58,91.43,91.43,grupoice.com,false,
2024-01-05 04:00:00,Costa Rica,Costa Rica,CR,40.43,88.91,90.04,90.04,grupoice.com,false,
2024-01-05 05:00:00,Costa Rica,Costa Rica,CR,41.79,92.45,89.69,89.69,grupoice.com,false,
2024-01-05 06:00:00,Costa Rica,Costa Rica,CR,34.25,81.08,91.56,91.56,grupoice.com,false,
