Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Estonia,Estonia,EE,291.9,340.51,62.09,56.88,entsoe.eu,false,
2024-01-01 01:00:00,Estonia,Estonia,EE,240.39,289.11,67.56,60.27,entsoe.eu,false,
2024-01-01 02:00:00,Estonia,Estonia,EE,265.66,302.67,62.32,55.99,entsoe.eu,false,
2024-01-01 03:00:00,Estonia,Estonia,EE,269.0,310.54,63.18,58.3,entsoe.eu,false,
2024-01-01 04:00:00,Estonia,Estonia,EE,257.62,300.37,64.65,60.08,entsoe.eu,false,
2024-01-01 05:00:00,Estonia,Estonia,EE,248.63,292.07,65.65,61.09,entsoe.eu,false,
2024-01-01 06:00:00,Estonia,Estonia,EE,250.47,289.98,65.02,59.57,entsoe.eu,false,
2024-01-01 07:00:00,Estonia,Estonia,EE,256.48,291.62,63.34,56.7,entsoe.eu,false,
2024-01-01 08:00:00,Estonia,Estonia,EE,251.23,287.35,64.39,58.18,entsoe.eu,false,
2024-01-01 09:00:00,Estonia,Estonia,EE,255.51,288.72,63.46,56.62,entsoe.eu,false,
2024-01-01 10:00:00,Estonia,Estonia,EE,247.7,280.93,64.52,57.73,entsoe.eu,false,
2024-01-01 11:00:00,Estonia,Estonia,EE,235.51,275.11,66.98,61.5,entsoe.eu,false,
2024-01-01 12:00:00,Estonia,Estonia,EE,243.38,277.58,65.39,58.54,entsoe.eu,false,
2024-01-01 13:00:00,Estonia,Estonia,EE,239.21,273.22,66.14,59.18,entsoe.eu,false,
2024-01-01 14:00:00,Estonia,Estonia,EE,236.02,272.63,66.7,60.49,entsoe.eu,false,
2024-01-01 15:00:00,Estonia,Estonia,EE,207.77,250.67,72.17,64.03,entsoe.eu,false,
2024-01-01 16:00:00,Estonia,Estonia,EE,176.02,220.36,76.29,67.75,entsoe.eu,false,
2024-01-01 17:00:00,Estonia,Estonia,EE,227.05,267.9,69.63,64.15,entsoe.eu,false,
2024-01-01 18:00:00,Estonia,Estonia,EE,231.65,266.96,67.79,61.6,entsoe.eu,false,
2024-01-01 19:00:00,Estonia,Estonia,EE,237.34,273.72,66.92,60.65,entsoe.eu,false,
2024-01-01 20:00:00,Estonia,Estonia,EE,247.34,282.35,65.52,59.15,entsoe.eu,false,
2024-01-01 21:00:00,Estonia,Estonia,EE,249.66,285.2,65.38,59.36,entsoe.eu,false,
2024-01-01 22:00:00,Estonia,Estonia,EE,243.31,280.96,66.2,60.74,entsoe.eu,false,
2024-01-01 23:00:00,Estonia,Estonia,EE,248.01,287.03,66.0,60.97,entsoe.eu,false,
2024-01-02 00:00:00,Estonia,Estonia,EE,251.79,289.11,65.19,59.68,entsoe.eu,false,
2024-01-02 01:00:00,Estonia,Estonia,EE,276.43,312.55,61.81,55.53,entsoe.eu,false,
2024-01-02 02:00:00,Estonia,Estonia,EE,281.39,317.92,61.35,55.22,entsoe.eu,false,
2024-01-02 03:00:00,Estonia,Estonia,EE,322.15,363.07,58.66,53.7,entsoe.eu,false,
2024-01-02 04:00:00,Estonia,Estonia,EE,365.1,412.69,55.68,52.5,entsoe.eu,false,
2024-01-02 05:00:00,Estonia,Estonia,EE,381.92,426.15,52.83,48.83,entsoe.eu,false,
2024-01-02 06:00:00,Estonia,Estonia,EE,395.74,443.24,49.38,45.33,entsoe.eu,false,
2024-01-02 07:00:00,Estonia,Estonia,EE,401.45,447.88,47.43,42.66,entsoe.eu,false,
2024-01-02 08:00:00,Estonia,Estonia,EE,411.69,459.95,45.95,41.23,entsoe.eu,false,
2024-01-02 09:00:00,Estonia,Estonia,EE,424.48,474.59,45.47,41.19,entsoe.eu,false,
2024-01-02 10:00:00,Estonia,Estonia,EE,430.9,479.93,44.46,39.84,entsoe.eu,false,
2024-01-02 11:00:00,Estonia,Estonia,EE,425.26,475.02,44.98,40.57,entsoe.eu,false,
2024-01-02 12:00:00,Estonia,Estonia,EE,412.47,462.23,46.02,41.65,entsoe.eu,false,
2024-01-02 13:00:00,Estonia,Estonia,EE,416.58,466.09,46.21,42.1,entsoe.eu,false,
2024-01-02 14:00:00,Estonia,Estonia,EE,432.62,481.5,45.31,41.25,entsoe.eu,false,
2024-01-02 15:00:00,Estonia,Estonia,EE,416.54,464.97,46.95,42.89,entsoe.eu,false,
2024-01-02 16:00:00,Estonia,Estonia,EE,409.15,456.67,47.56,43.37,entsoe.eu,false,
2024-01-02 17:00:00,Estonia,Estonia,EE,410.34,457.02,47.03,42.6,entsoe.eu,false,
2024-01-02 18:00:00,Estonia,Estonia,EE,388.95,434.64,49.08,44.63,entsoe.eu,false,
2024-01-02 19:00:00,Estonia,Estonia,EE,372.79,419.29,51.56,47.62,entsoe.eu,false,
2024-01-02 20:00:00,Estonia,Estonia,EE,375.23,420.54,51.68,47.6,entsoe.eu,false,
