Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Greece,Greece,GR,381.34,443.7,40.21,30.07,entsoe.eu,false,
2024-01-01 01:00:00,Greece,Greece,GR,374.27,431.86,43.83,33.03,entsoe.eu,false,
2024-01-01 02:00:00,Greece,Greece,GR,372.12,427.28,45.55,34.97,entsoe.eu,false,
2024-01-01 03:00:00,Greece,Greece,GR,374.54,429.6,45.4,34.72,entsoe.eu,false,
2024-01-01 04:00:00,Greece,Greece,GR,354.77,407.85,47.87,38.52,entsoe.eu,false,
2024-01-01 05:00:00,Greece,Greece,GR,362.65,415.35,47.39,37.55,entsoe.eu,false,
2024-01-01 06:00:00,Greece,Greece,GR,339.82,389.85,51.25,42.5,entsoe.eu,false,
2024-01-01 07:00:00,Greece,Greece,GR,264.84,306.43,64.4,56.73,entsoe.eu,false,
2024-01-01 08:00:00,Greece,Greece,GR,207.09,245.15,72.51,66.07,entsoe.eu,false,
2024-01-01 09:00:00,Greece,Greece,GR,181.02,217.52,76.04,70.52,entsoe.eu,false,
2024-01-01 10:00:00,Greece,Greece,GR,171.05,207.92,76.8,71.67,entsoe.eu,false,
2024-01-01 11:00:00,Greece,Greece,GR,169.51,206.15,77.0,71.97,entsoe.eu,false,
2024-01-01 12:00:00,Greece,Greece,GR,177.71,213.72,76.58,71.16,entsoe.eu,false,
2024-01-01 13:00:00,Greece,Greece,GR,226.21,264.93,69.83,62.92,entsoe.eu,false,
2024-01-01 14:00:00,Greece,Greece,GR,276.61,318.51,63.64,55.96,entsoe.eu,false,
2024-01-01 15:00:00,Greece,Greece,GR,291.19,340.92,59.96,53.84,entsoe.eu,false,
2024-01-01 16:00:00,Greece,Greece,GR,286.27,336.84,60.7,54.9,entsoe.eu,false,
2024-01-01 17:00:00,Greece,Greece,GR,286.22,337.37,60.18,54.23,entsoe.eu,false,
2024-01-01 18:00:00,Greece,Greece,GR,298.22,352.18,57.48,51.31,entsoe.eu,false,
2024-01-01 19:00:00,Greece,Greece,GR,295.11,347.29,59.09,52.36,entsoe.eu,false,
2024-01-01 20:00:00,Greece,Greece,GR,292.89,343.53,59.71,52.52,entsoe.eu,false,
2024-01-01 21:00:00,Greece,Greece,GR,309.7,363.25,51.8,43.44,entsoe.eu,false,
2024-01-01 22:00:00,Greece,Greece,GR,315.22,368.1,51.64,42.0,entsoe.eu,false,
2024-01-01 23:00:00,Greece,Greece,GR,330.69,383.58,50.68,40.01,entsoe.eu,false,
2024-01-02 00:00:00,Greece,Greece,GR,338.09,388.83,51.49,40.07,entsoe.eu,false,
2024-01-02 01:00:00,Greece,Greece,GR,335.79,384.27,53.05,41.58,entsoe.eu,false,
2024-01-02 02:00:00,Greece,Greece,GR,332.97,380.63,53.55,42.91,entsoe.eu,false,
2024-01-02 03:00:00,Greece,Greece,GR,328.09,374.51,54.33,44.26,entsoe.eu,false,
