Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Hong Kong,Hong Kong,HK,501.55,601.96,0.72,0.72,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 01:00:00,Hong Kong,Hong Kong,HK,502.61,602.57,0.93,0.93,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 02:00:00,Hong Kong,Hong Kong,HK,503.47,603.08,1.1,1.1,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 03:00:00,Hong Kong,Hong Kong,HK,501.84,601.48,1.28,1.28,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 04:00:00,Hong Kong,Hong Kong,HK,505.6,604.26,1.64,1.64,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 05:00:00,Hong Kong,Hong Kong,HK,500.74,599.98,1.73,1.73,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 06:00:00,Hong Kong,Hong Kong,HK,492.89,593.92,1.18,1.18,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 07:00:00,Hong Kong,Hong Kong,HK,495.8,596.54,1.08,1.08,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 08:00:00,Hong Kong,Hong Kong,HK,494.61,595.79,0.85,0.85,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 09:00:00,Hong Kong,Hong Kong,HK,491.05,592.82,0.83,0.83,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 10:00:00,Hong Kong,Hong Kong,HK,494.21,595.71,0.73,0.73,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 11:00:00,Hong Kong,Hong Kong,HK,499.45,600.58,0.45,0.45,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 12:00:00,Hong Kong,Hong Kong,HK,499.96,600.96,0.45,0.45,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 13:00:00,Hong Kong,Hong Kong,HK,502.24,602.87,0.46,0.46,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 14:00:00,Hong Kong,Hong Kong,HK,499.94,600.94,0.46,0.46,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 15:00:00,Hong Kong,Hong Kong,HK,501.79,602.54,0.48,0.48,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 16:00:00,Hong Kong,Hong Kong,HK,504.29,604.66,0.5,0.5,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 17:00:00,Hong Kong,Hong Kong,HK,504.35,604.72,0.5,0.5,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 18:00:00,Hong Kong,Hong Kong,HK,510.6,610.03,0.52,0.52,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 19:00:00,Hong Kong,Hong Kong,HK,510.85,610.24,0.52,0.52,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 20:00:00,Hong Kong,Hong Kong,HK,507.92,607.74,0.51,0.51,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 21:00:00,Hong Kong,Hong Kong,HK,510.44,609.88,0.52,0.52,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 22:00:00,Hong Kong,Hong Kong,HK,499.52,600.09,0.84,0.84,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 23:00:00,Hong Kong,Hong Kong,HK,499.2,599.76,0.87,0.87,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 00:00:00,Hong Kong,Hong Kong,HK,498.16,599.02,0.74,0.74,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 01:00:00,Hong Kong,Hong Kong,HK,495.76,596.65,0.98,0.98,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 02:00:00,Hong Kong,Hong Kong,HK,500.9,600.81,1.18,1.18,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 03:00:00,Hong Kong,Hong Kong,HK,504.03,602.88,1.67,1.67,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 04:00:00,Hong Kong,Hong Kong,HK,502.91,601.89,1.7,1.7,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 05:00:00,Hong Kong,Hong Kong,HK,501.93,600.98,1.76,1.76,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 06:00:00,Hong Kong,Hong Kong,HK,491.92,593.05,1.21,1.21,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 07:00:00,Hong Kong,Hong Kong,HK,494.3,595.34,1.01,1.01,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 08:00:00,Hong Kong,Hong Kong,HK,495.61,596.43,1.03,1.03,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 09:00:00,Hong Kong,Hong Kong,HK,492.7,594.24,0.85,0.85,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 10:00:00,Hong Kong,Hong Kong,HK,490.12,592.2,0.75,0.75,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 11:00:00,Hong Kong,Hong Kong,HK,493.39,595.42,0.43,0.43,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 12:00:00,Hong Kong,Hong Kong,HK,496.58,598.07,0.43,0.43,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 13:00:00,Hong Kong,Hong Kong,HK,497.8,599.08,0.43,0.43,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 14:00:00,Hong Kong,Hong Kong,HK,494.87,596.6,0.44,0.44,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 15:00:00,Hong Kong,Hong Kong,HK,495.82,597.44,0.45,0.45,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 16:00:00,Hong Kong,Hong Kong,HK,498.69,599.87,0.46,0.46,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 17:00:00,Hong Kong,Hong Kong,HK,499.67,600.71,0.47,0.47,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 18:00:00,Hong Kong,Hong Kong,HK,502.37,603.01,0.48,0.48,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 19:00:00,Hong Kong,Hong Kong,HK,503.01,603.55,0.49,0.49,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 20:00:00,Hong Kong,Hong Kong,HK,500.48,601.39,0.48,0.48,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 21:00:00,Hong Kong,Hong Kong,HK,504.2,604.55,0.48,0.48,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 22:00:00,Hong Kong,Hong Kong,HK,498.57,599.28,0.81,0.81,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-02 23:00:00,Hong Kong,Hong Kong,HK,498.69,599.36,0.83,0.83,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 00:00:00,Hong Kong,Hong Kong,HK,501.75,602.14,0.7,0.7,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 01:00:00,Hong Kong,Hong Kong,HK,500.67,600.69,1.12,1.12,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 02:00:00,Hong Kong,Hong Kong,HK,506.0,604.69,1.58,1.58,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 03:00:00,Hong Kong,Hong Kong,HK,506.52,604.62,1.99,1.99,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 04:00:00,Hong Kong,Hong Kong,HK,515.22,611.84,2.18,2.18,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 05:00:00,Hong Kong,Hong Kong,HK,515.77,611.97,2.46,2.46,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 06:00:00,Hong Kong,Hong Kong,HK,501.86,600.98,1.72,1.72,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 07:00:00,Hong Kong,Hong Kong,HK,507.26,605.72,1.6,1.6,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 08:00:00,Hong Kong,Hong Kong,HK,506.78,605.49,1.39,1.39,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 09:00:00,Hong Kong,Hong Kong,HK,503.76,603.48,0.98,0.98,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 10:00:00,Hong Kong,Hong Kong,HK,501.64,601.92,0.83,0.83,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 11:00:00,Hong Kong,Hong Kong,HK,505.13,605.39,0.45,0.45,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 12:00:00,Hong Kong,Hong Kong,HK,503.78,604.16,0.44,0.44,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 13:00:00,Hong Kong,Hong Kong,HK,502.21,602.83,0.45,0.45,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 14:00:00,Hong Kong,Hong Kong,HK,498.27,599.48,0.45,0.45,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 15:00:00,Hong Kong,Hong Kong,HK,500.05,601.01,0.46,0.46,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 16:00:00,Hong Kong,Hong Kong,HK,509.36,608.94,0.49,0.49,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 17:00:00,Hong Kong,Hong Kong,HK,503.06,603.56,0.47,0.47,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-03 18:00:00,Hong Kong,Hong Kong,HK,504.07,604.41,0.47,0.47,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
