Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Croatia,Croatia,HR,115.69,150.0,80.62,57.42,entsoe.eu,false,
2024-01-01 01:00:00,Croatia,Croatia,HR,109.23,143.43,81.1,59.99,entsoe.eu,false,
2024-01-01 02:00:00,Croatia,Croatia,HR,103.73,138.16,81.35,63.45,entsoe.eu,false,
2024-01-01 03:00:00,Croatia,Croatia,HR,98.16,132.56,81.65,66.4,entsoe.eu,false,
2024-01-01 04:00:00,Croatia,Croatia,HR,104.25,139.67,80.5,65.84,entsoe.eu,false,
2024-01-01 05:00:00,Croatia,Croatia,HR,101.15,136.04,81.17,63.19,entsoe.eu,false,
2024-01-01 06:00:00,Croatia,Croatia,HR,107.64,144.21,79.92,61.26,entsoe.eu,false,
2024-01-01 07:00:00,Croatia,Croatia,HR,110.59,147.0,79.61,59.31,entsoe.eu,false,
2024-01-01 08:00:00,Croatia,Croatia,HR,129.8,171.26,74.92,54.26,entsoe.eu,false,
2024-01-01 09:00:00,Croatia,Croatia,HR,120.32,160.79,76.86,55.1,entsoe.eu,false,
2024-01-01 10:00:00,Croatia,Croatia,HR,117.18,157.32,77.67,55.38,entsoe.eu,false,
2024-01-01 11:00:00,Croatia,Croatia,HR,125.79,167.62,75.96,55.26,entsoe.eu,false,
2024-01-01 12:00:00,Croatia,Croatia,HR,120.13,161.74,76.61,56.44,entsoe.eu,false,
2024-01-01 13:00:00,Croatia,Croatia,HR,113.3,151.17,78.64,58.1,entsoe.eu,false,
2024-01-01 14:00:00,Croatia,Croatia,HR,122.44,150.21,79.81,60.86,entsoe.eu,false,
2024-01-01 15:00:00,Croatia,Croatia,HR,119.16,141.25,81.81,64.11,entsoe.eu,false,
2024-01-01 16:00:00,Croatia,Croatia,HR,122.74,138.62,82.86,66.99,entsoe.eu,false,
2024-01-01 17:00:00,Croatia,Croatia,HR,123.36,139.05,82.81,67.24,entsoe.eu,false,
2024-01-01 18:00:00,Croatia,Croatia,HR,122.09,139.18,82.41,66.65,entsoe.eu,false,
2024-01-01 19:00:00,Croatia,Croatia,HR,110.71,141.78,80.62,61.19,entsoe.eu,false,
2024-01-01 20:00:00,Croatia,Croatia,HR,116.66,151.46,78.91,57.69,entsoe.eu,false,
2024-01-01 21:00:00,Croatia,Croatia,HR,116.53,151.74,78.76,56.59,entsoe.eu,false,
2024-01-01 22:00:00,Croatia,Croatia,HR,119.0,157.12,77.13,56.05,entsoe.eu,false,
2024-01-01 23:00:00,Croatia,Croatia,HR,127.03,166.28,75.96,52.28,entsoe.eu,false,
2024-01-02 00:00:00,Croatia,Croatia,HR,128.83,169.26,75.17,52.1,entsoe.eu,false,
2024-01-02 01:00:00,Croatia,Croatia,HR,130.63,172.11,74.6,51.84,entsoe.eu,false,
2024-01-02 02:00:00,Croatia,Croatia,HR,131.58,173.68,74.28,52.02,entsoe.eu,false,
2024-01-02 03:00:00,Croatia,Croatia,HR,133.27,172.46,76.07,49.8,entsoe.eu,false,
2024-01-02 04:00:00,Croatia,Croatia,HR,131.08,168.24,77.34,50.7,entsoe.eu,false,
2024-01-02 05:00:00,Croatia,Croatia,HR,121.22,157.38,78.31,56.61,entsoe.eu,false,
2024-01-02 06:00:00,Croatia,Croatia,HR,107.29,137.2,81.78,64.74,entsoe.eu,false,
2024-01-02 07:00:00,Croatia,Croatia,HR,99.35,126.84,83.25,68.83,entsoe.eu,false,
2024-01-02 08:00:00,Croatia,Croatia,HR,97.26,125.83,83.09,71.26,entsoe.eu,false,
2024-01-02 09:00:00,Croatia,Croatia,HR,95.36,125.32,82.88,72.85,entsoe.eu,false,
2024-01-02 10:00:00,Croatia,Croatia,HR,142.18,176.38,75.71,74.24,entsoe.eu,false,
2024-01-02 11:00:00,Croatia,Croatia,HR,142.96,177.32,75.39,74.42,entsoe.eu,false,
2024-01-02 12:00:00,Croatia,Croatia,HR,127.5,160.21,77.66,74.77,entsoe.eu,false,
2024-01-02 13:00:00,Croatia,Croatia,HR,104.81,123.41,84.06,76.04,entsoe.eu,false,
2024-01-02 14:00:00,Croatia,Croatia,HR,108.26,122.95,84.95,74.94,entsoe.eu,false,
2024-01-02 15:00:00,Croatia,Croatia,HR,109.34,123.39,85.22,73.76,entsoe.eu,false,
2024-01-02 16:00:00,Croatia,Croatia,HR,111.05,125.38,85.01,73.06,entsoe.eu,false,
2024-01-02 17:00:00,Croatia,Croatia,HR,109.84,124.71,84.9,73.59,entsoe.eu,false,
2024-01-02 18:00:00,Croatia,Croatia,HR,104.77,120.6,85.1,74.86,entsoe.eu,false,
2024-01-02 19:00:00,Croatia,Croatia,HR,82.89,112.49,84.47,72.74,entsoe.eu,false,
2024-01-02 20:00:00,Croatia,Croatia,HR,96.56,128.4,82.61,67.02,entsoe.eu,false,
2024-01-02 21:00:00,Croatia,Croatia,HR,105.31,139.08,80.82,64.52,entsoe.eu,false,
2024-01-02 22:00:00,Croatia,Croatia,HR,107.15,141.39,80.51,63.42,entsoe.eu,false,
2024-01-02 23:00:00,Croatia,Croatia,HR,116.54,151.57,79.41,59.31,entsoe.eu,false,
2024-01-03 00:00:00,Croatia,Croatia,HR,112.84,148.33,79.39,60.53,entsoe.eu,false,
2024-01-03 01:00:00,Croatia,Croatia,HR,115.42,152.18,78.39,59.78,entsoe.eu,false,
2024-01-03 02:00:00,Croatia,Croatia,HR,115.88,153.08,78.13,59.44,entsoe.eu,false,
2024-01-03 03:00:00,Croatia,Croatia,HR,113.9,150.94,78.48,60.72,entsoe.eu,false,
2024-01-03 04:00:00,Croatia,Croatia,HR,121.42,158.24,78.22,57.92,entsoe.eu,false,
2024-01-03 05:00:00,Croatia,Croatia,HR,109.47,145.69,79.01,64.98,entsoe.eu,false,
2024-01-03 06:00:00,Croatia,Croatia,HR,94.57,127.11,81.97,70.59,entsoe.eu,false,
2024-01-03 07:00:00,Croatia,Croatia,HR,101.18,131.87,82.2,70.3,entsoe.eu,false,
2024-01-03 08:00:00,Croatia,Croatia,HR,103.2,133.9,82.16,70.07,entsoe.eu,false,
2024-01-03 09:00:00,Croatia,Croatia,HR,106.67,138.36,82.06,68.89,entsoe.eu,false,
2024-01-03 10:00:00,Croatia,Croatia,HR,108.59,141.4,81.37,68.66,entsoe.eu,false,
2024-01-03 11:00:00,Croatia,Croatia,HR,102.27,135.63,81.53,68.85,entsoe.eu,false,
2024-01-03 12:00:00,Croatia,Croatia,HR,94.11,127.41,82.03,70.94,entsoe.eu,false,
2024-01-03 13:00:00,Croatia,Croatia,HR,102.05,134.66,80.98,73.04,entsoe.eu,false,
2024-01-03 14:00:00,Croatia,Croatia,HR,132.2,139.45,82.44,81.48,entsoe.eu,false,
2024-01-03 15:00:00,Croatia,Croatia,HR,128.0,133.26,84.3,77.77,entsoe.eu,false,
2024-01-03 16:00:00,Croatia,Croatia,HR,129.9,135.8,83.69,79.21,entsoe.eu,false,
2024-01-03 17:00:00,Croatia,Croatia,HR,126.64,132.43,84.1,79.63,entsoe.eu,false,
2024-01-03 18:00:00,Croatia,Croatia,HR,122.61,130.79,84.14,79.5,entsoe.eu,false,
2024-01-03 19:00:00,Croatia,Croatia,HR,93.64,122.44,83.04,75.82,entsoe.eu,false,
2024-01-03 20:00:00,Croatia,Croatia,HR,99.82,130.33,81.75,73.72,entsoe.eu,false,
2024-01-03 21:00:00,Croatia,Croatia,HR,110.24,141.84,80.32,69.84,entsoe.eu,false,
2024-01-03 22:00:00,Croatia,Croatia,HR,111.62,145.6,79.49,64.97,entsoe.eu,false,
2024-01-03 23:00:00,Croatia,Croatia,HR,107.87,143.39,79.44,62.99,entsoe.eu,false,
2024-01-04 00:00:00,Croatia,Croatia,HR,109.53,145.7,79.04,61.21,entsoe.eu,false,
2024-01-04 01:00:00,Croatia,Croatia,HR,108.76,144.3,79.6,60.54,entsoe.eu,false,
2024-01-04 02:00:00,Croatia,Croatia,HR,104.61,139.35,80.59,60.84,entsoe.eu,false,
