Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Hungary,Hungary,HU,169.33,201.87,78.66,22.39,entsoe.eu,false,
2024-01-01 01:00:00,Hungary,Hungary,HU,164.99,197.8,78.84,23.03,entsoe.eu,false,
2024-01-01 02:00:00,Hungary,Hungary,HU,161.67,195.5,78.64,25.88,entsoe.eu,false,
2024-01-01 03:00:00,Hungary,Hungary,HU,162.13,197.22,77.78,25.34,entsoe.eu,false,
2024-01-01 04:00:00,Hungary,Hungary,HU,170.13,206.2,76.59,21.7,entsoe.eu,false,
2024-01-01 05:00:00,Hungary,Hungary,HU,161.43,196.18,77.89,19.14,entsoe.eu,false,
2024-01-01 06:00:00,Hungary,Hungary,HU,155.53,190.24,78.95,22.14,entsoe.eu,false,
2024-01-01 07:00:00,Hungary,Hungary,HU,149.38,181.98,80.32,23.31,entsoe.eu,false,
2024-01-01 08:00:00,Hungary,Hungary,HU,137.84,170.13,81.17,24.98,entsoe.eu,false,
2024-01-01 09:00:00,Hungary,Hungary,HU,118.63,148.69,84.76,30.78,entsoe.eu,false,
2024-01-01 10:00:00,Hungary,Hungary,HU,105.37,134.7,86.79,36.02,entsoe.eu,false,
2024-01-01 11:00:00,Hungary,Hungary,HU,104.91,136.16,85.83,38.22,entsoe.eu,false,
2024-01-01 12:00:00,Hungary,Hungary,HU,110.74,143.52,84.43,39.38,entsoe.eu,false,
2024-01-01 13:00:00,Hungary,Hungary,HU,118.39,151.08,83.29,36.07,entsoe.eu,false,
2024-01-01 14:00:00,Hungary,Hungary,HU,135.09,168.09,81.03,28.57,entsoe.eu,false,
2024-01-01 15:00:00,Hungary,Hungary,HU,148.01,172.18,81.74,30.44,entsoe.eu,false,
2024-01-01 16:00:00,Hungary,Hungary,HU,151.51,174.37,81.56,29.88,entsoe.eu,false,
2024-01-01 17:00:00,Hungary,Hungary,HU,150.26,172.29,81.87,30.61,entsoe.eu,false,
2024-01-01 18:00:00,Hungary,Hungary,HU,148.77,171.0,81.86,30.7,entsoe.eu,false,
2024-01-01 19:00:00,Hungary,Hungary,HU,143.23,167.39,82.02,30.14,entsoe.eu,false,
2024-01-01 20:00:00,Hungary,Hungary,HU,143.66,172.64,80.95,26.8,entsoe.eu,false,
2024-01-01 21:00:00,Hungary,Hungary,HU,141.68,171.54,80.68,25.12,entsoe.eu,false,
2024-01-01 22:00:00,Hungary,Hungary,HU,140.24,171.12,80.4,24.1,entsoe.eu,false,
2024-01-01 23:00:00,Hungary,Hungary,HU,142.49,172.97,80.49,21.23,entsoe.eu,false,
2024-01-02 00:00:00,Hungary,Hungary,HU,145.9,177.14,79.71,19.36,entsoe.eu,false,
2024-01-02 01:00:00,Hungary,Hungary,HU,151.28,184.15,78.75,17.36,entsoe.eu,false,
2024-01-02 02:00:00,Hungary,Hungary,HU,153.99,187.76,78.36,16.13,entsoe.eu,false,
2024-01-02 03:00:00,Hungary,Hungary,HU,161.24,195.59,78.02,18.28,entsoe.eu,false,
2024-01-02 04:00:00,Hungary,Hungary,HU,166.8,201.91,77.49,19.19,entsoe.eu,false,
2024-01-02 05:00:00,Hungary,Hungary,HU,164.74,199.54,77.54,20.57,entsoe.eu,false,
2024-01-02 06:00:00,Hungary,Hungary,HU,165.65,198.15,78.43,24.6,entsoe.eu,false,
2024-01-02 07:00:00,Hungary,Hungary,HU,154.19,184.51,80.12,30.63,entsoe.eu,false,
2024-01-02 08:00:00,Hungary,Hungary,HU,137.65,168.03,82.29,37.2,entsoe.eu,false,
2024-01-02 09:00:00,Hungary,Hungary,HU,112.82,143.56,85.35,41.96,entsoe.eu,false,
