Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Japan,Japan,JP,276.85,342.82,49.48,39.83,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 01:00:00,Japan,Japan,JP,213.38,273.39,61.06,51.16,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 02:00:00,Japan,Japan,JP,186.5,244.53,65.96,55.82,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 03:00:00,Japan,Japan,JP,186.83,245.21,65.89,55.63,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 04:00:00,Japan,Japan,JP,212.15,271.76,61.29,50.82,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 05:00:00,Japan,Japan,JP,266.09,329.87,51.46,40.95,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 06:00:00,Japan,Japan,JP,342.24,412.88,37.57,27.42,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 07:00:00,Japan,Japan,JP,411.75,490.36,24.86,15.22,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 08:00:00,Japan,Japan,JP,432.68,514.04,21.03,12.3,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 09:00:00,Japan,Japan,JP,434.97,516.49,20.61,12.15,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 10:00:00,Japan,Japan,JP,435.03,516.74,20.6,12.16,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 11:00:00,Japan,Japan,JP,435.87,517.79,20.44,12.02,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 12:00:00,Japan,Japan,JP,435.61,517.39,20.49,11.93,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 13:00:00,Japan,Japan,JP,433.32,514.98,20.91,12.01,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 14:00:00,Japan,Japan,JP,432.93,513.79,20.99,11.96,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 15:00:00,Japan,Japan,JP,432.01,509.19,21.24,11.74,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 16:00:00,Japan,Japan,JP,431.08,507.34,21.43,11.74,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 17:00:00,Japan,Japan,JP,431.95,508.1,21.28,11.82,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 18:00:00,Japan,Japan,JP,432.84,508.51,21.13,11.84,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 19:00:00,Japan,Japan,JP,432.63,508.15,21.18,11.9,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 20:00:00,Japan,Japan,JP,432.11,507.8,21.26,11.97,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 21:00:00,Japan,Japan,JP,432.62,509.23,21.15,11.97,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 22:00:00,Japan,Japan,JP,427.74,504.63,22.02,13.23,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 23:00:00,Japan,Japan,JP,388.17,462.16,29.23,20.84,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 00:00:00,Japan,Japan,JP,329.98,401.49,39.78,31.22,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 01:00:00,Japan,Japan,JP,268.48,334.87,50.99,42.11,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 02:00:00,Japan,Japan,JP,241.3,303.82,55.98,46.87,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 03:00:00,Japan,Japan,JP,243.75,306.49,55.52,46.28,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 04:00:00,Japan,Japan,JP,262.87,326.66,52.05,42.51,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 05:00:00,Japan,Japan,JP,295.92,362.61,46.02,36.36,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 06:00:00,Japan,Japan,JP,354.09,424.82,35.43,25.89,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 07:00:00,Japan,Japan,JP,415.78,491.96,24.19,15.18,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 08:00:00,Japan,Japan,JP,436.05,514.05,20.5,12.23,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 09:00:00,Japan,Japan,JP,437.53,515.89,20.22,12.14,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 10:00:00,Japan,Japan,JP,436.78,515.12,20.36,12.29,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 11:00:00,Japan,Japan,JP,436.32,514.46,20.45,12.32,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 12:00:00,Japan,Japan,JP,435.3,513.1,20.64,12.32,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 13:00:00,Japan,Japan,JP,433.6,510.89,20.95,12.27,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 14:00:00,Japan,Japan,JP,432.48,509.28,21.16,12.2,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 15:00:00,Japan,Japan,JP,428.87,505.19,21.82,12.36,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 16:00:00,Japan,Japan,JP,428.17,504.09,21.96,12.25,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 17:00:00,Japan,Japan,JP,429.68,505.15,21.7,12.17,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 18:00:00,Japan,Japan,JP,431.27,506.57,21.42,12.06,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 19:00:00,Japan,Japan,JP,431.72,507.16,21.34,12.01,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 20:00:00,Japan,Japan,JP,431.74,507.45,21.33,11.94,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 21:00:00,Japan,Japan,JP,432.23,508.93,21.21,11.88,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 22:00:00,Japan,Japan,JP,429.27,506.62,21.74,12.77,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 23:00:00,Japan,Japan,JP,408.27,484.11,25.56,17.12,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 00:00:00,Japan,Japan,JP,376.29,451.0,31.36,23.11,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 01:00:00,Japan,Japan,JP,345.96,418.48,36.88,28.52,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 02:00:00,Japan,Japan,JP,335.59,406.49,38.79,30.22,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 03:00:00,Japan,Japan,JP,346.85,418.51,36.74,28.05,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 04:00:00,Japan,Japan,JP,365.84,437.77,33.31,24.4,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 05:00:00,Japan,Japan,JP,389.02,462.47,29.09,20.15,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 06:00:00,Japan,Japan,JP,412.08,486.75,24.9,16.07,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 07:00:00,Japan,Japan,JP,432.92,510.12,21.08,12.64,,true,ESTIMATED_MODE_BREAKDOWN
