Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Luxembourg,Luxembourg,LU,67.88,109.36,91.38,90.51,entsoe.eu,false,
2024-01-01 01:00:00,Luxembourg,Luxembourg,LU,59.95,100.49,92.24,90.31,entsoe.eu,false,
2024-01-01 02:00:00,Luxembourg,Luxembourg,LU,64.32,105.44,91.83,91.35,entsoe.eu,false,
2024-01-01 03:00:00,Luxembourg,Luxembourg,LU,71.38,112.67,90.95,90.57,entsoe.eu,false,
2024-01-01 04:00:00,Luxembourg,Luxembourg,LU,77.57,119.49,90.13,89.83,entsoe.eu,false,
2024-01-01 05:00:00,Luxembourg,Luxembourg,LU,80.7,124.79,87.71,87.3,entsoe.eu,false,
2024-01-01 06:00:00,Luxembourg,Luxembourg,LU,82.31,126.24,87.32,87.07,entsoe.eu,false,
2024-01-01 07:00:00,Luxembourg,Luxembourg,LU,78.82,121.58,87.68,87.38,entsoe.eu,false,
2024-01-01 08:00:00,Luxembourg,Luxembourg,LU,82.15,125.52,87.6,87.32,entsoe.eu,false,
2024-01-01 09:00:00,Luxembourg,Luxembourg,LU,77.92,121.89,88.23,88.09,entsoe.eu,false,
2024-01-01 10:00:00,Luxembourg,Luxembourg,LU,77.65,122.11,88.46,88.28,entsoe.eu,false,
2024-01-01 11:00:00,Luxembourg,Luxembourg,LU,79.93,125.18,88.14,87.72,entsoe.eu,false,
2024-01-01 12:00:00,Luxembourg,Luxembourg,LU,73.79,117.96,88.07,83.3,entsoe.eu,false,
2024-01-01 13:00:00,Luxembourg,Luxembourg,LU,76.62,120.23,87.83,80.82,entsoe.eu,false,
2024-01-01 14:00:00,Luxembourg,Luxembourg,LU,95.55,139.83,86.29,81.24,entsoe.eu,false,
2024-01-01 15:00:00,Luxembourg,Luxembourg,LU,96.62,139.61,85.95,76.48,entsoe.eu,false,
2024-01-01 16:00:00,Luxembourg,Luxembourg,LU,108.97,149.45,85.22,76.99,entsoe.eu,false,
2024-01-01 17:00:00,Luxembourg,Luxembourg,LU,118.55,157.42,84.88,77.37,entsoe.eu,false,
2024-01-01 18:00:00,Luxembourg,Luxembourg,LU,96.82,135.08,86.43,72.06,entsoe.eu,false,
2024-01-01 19:00:00,Luxembourg,Luxembourg,LU,88.5,129.86,86.05,71.11,entsoe.eu,false,
2024-01-01 20:00:00,Luxembourg,Luxembourg,LU,79.45,120.13,87.34,75.12,entsoe.eu,false,
2024-01-01 21:00:00,Luxembourg,Luxembourg,LU,49.39,85.02,91.8,71.62,entsoe.eu,false,
2024-01-01 22:00:00,Luxembourg,Luxembourg,LU,29.95,62.64,93.95,70.24,entsoe.eu,false,
2024-01-01 23:00:00,Luxembourg,Luxembourg,LU,29.11,61.36,93.92,70.69,entsoe.eu,false,
2024-01-02 00:00:00,Luxembourg,Luxembourg,LU,28.16,59.33,94.06,68.34,entsoe.eu,false,
2024-01-02 01:00:00,Luxembourg,Luxembourg,LU,26.84,58.97,94.35,72.63,entsoe.eu,false,
2024-01-02 02:00:00,Luxembourg,Luxembourg,LU,27.63,59.04,94.27,70.92,entsoe.eu,false,
2024-01-02 03:00:00,Luxembourg,Luxembourg,LU,28.55,59.36,94.14,70.33,entsoe.eu,false,
2024-01-02 04:00:00,Luxembourg,Luxembourg,LU,30.31,58.67,94.07,73.15,entsoe.eu,false,
2024-01-02 05:00:00,Luxembourg,Luxembourg,LU,63.6,101.56,88.98,76.37,entsoe.eu,false,
2024-01-02 06:00:00,Luxembourg,Luxembourg,LU,65.31,103.31,88.4,74.14,entsoe.eu,false,
2024-01-02 07:00:00,Luxembourg,Luxembourg,LU,79.21,117.67,87.15,75.63,entsoe.eu,false,
2024-01-02 08:00:00,Luxembourg,Luxembourg,LU,86.53,123.89,86.59,75.48,entsoe.eu,false,
2024-01-02 09:00:00,Luxembourg,Luxembourg,LU,86.85,126.08,86.25,74.57,entsoe.eu,false,
2024-01-02 10:00:00,Luxembourg,Luxembourg,LU,99.35,140.38,85.11,75.72,entsoe.eu,false,
2024-01-02 11:00:00,Luxembourg,Luxembourg,LU,116.5,156.26,83.82,78.13,entsoe.eu,false,
2024-01-02 12:00:00,Luxembourg,Luxembourg,LU,92.73,130.49,85.81,73.02,entsoe.eu,false,
2024-01-02 13:00:00,Luxembourg,Luxembourg,LU,101.19,137.32,85.35,74.04,entsoe.eu,false,
2024-01-02 14:00:00,Luxembourg,Luxembourg,LU,97.36,132.39,85.9,74.03,entsoe.eu,false,
2024-01-02 15:00:00,Luxembourg,Luxembourg,LU,121.67,157.95,83.89,78.6,entsoe.eu,false,
2024-01-02 16:00:00,Luxembourg,Luxembourg,LU,103.72,140.34,85.16,75.37,entsoe.eu,false,
2024-01-02 17:00:00,Luxembourg,Luxembourg,LU,108.66,147.11,84.63,78.52,entsoe.eu,false,
2024-01-02 18:00:00,Luxembourg,Luxembourg,LU,89.18,127.14,86.36,76.77,entsoe.eu,false,
2024-01-02 19:00:00,Luxembourg,Luxembourg,LU,76.6,114.63,87.64,76.72,entsoe.eu,false,
2024-01-02 20:00:00,Luxembourg,Luxembourg,LU,67.05,104.81,88.56,77.12,entsoe.eu,false,
2024-01-02 21:00:00,Luxembourg,Luxembourg,LU,73.31,111.94,89.98,87.72,entsoe.eu,false,
2024-01-02 22:00:00,Luxembourg,Luxembourg,LU,71.44,109.76,90.66,89.5,entsoe.eu,false,
2024-01-02 23:00:00,Luxembourg,Luxembourg,LU,64.11,103.14,90.9,82.69,entsoe.eu,false,
2024-01-03 00:00:00,Luxembourg,Luxembourg,LU,53.37,90.55,91.64,78.18,entsoe.eu,false,
