Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Latvia,Latvia,LV,92.78,131.51,86.15,85.58,entsoe.eu,false,
2024-01-01 01:00:00,Latvia,Latvia,LV,88.46,126.04,86.58,86.01,entsoe.eu,false,
2024-01-01 02:00:00,Latvia,Latvia,LV,108.18,147.03,84.96,84.87,entsoe.eu,false,
2024-01-01 03:00:00,Latvia,Latvia,LV,92.96,129.53,86.57,86.36,entsoe.eu,false,
2024-01-01 04:00:00,Latvia,Latvia,LV,93.73,130.51,86.39,86.01,entsoe.eu,false,
2024-01-01 05:00:00,Latvia,Latvia,LV,94.51,131.65,86.37,86.12,entsoe.eu,false,
2024-01-01 06:00:00,Latvia,Latvia,LV,109.16,148.59,85.02,84.95,entsoe.eu,false,
2024-01-01 07:00:00,Latvia,Latvia,LV,101.88,140.98,85.77,85.69,entsoe.eu,false,
2024-01-01 08:00:00,Latvia,Latvia,LV,103.79,143.41,85.72,85.62,entsoe.eu,false,
2024-01-01 09:00:00,Latvia,Latvia,LV,98.85,137.89,86.35,86.25,entsoe.eu,false,
2024-01-01 10:00:00,Latvia,Latvia,LV,86.61,123.52,87.86,87.62,entsoe.eu,false,
2024-01-01 11:00:00,Latvia,Latvia,LV,55.42,89.68,91.0,90.4,entsoe.eu,false,
2024-01-01 12:00:00,Latvia,Latvia,LV,80.25,115.45,88.7,87.76,entsoe.eu,false,
2024-01-01 13:00:00,Latvia,Latvia,LV,73.39,108.54,89.3,87.63,entsoe.eu,false,
2024-01-01 14:00:00,Latvia,Latvia,LV,51.04,84.66,90.67,89.13,entsoe.eu,false,
2024-01-01 15:00:00,Latvia,Latvia,LV,42.75,76.43,91.25,89.92,entsoe.eu,false,
2024-01-01 16:00:00,Latvia,Latvia,LV,36.4,69.62,91.76,90.42,entsoe.eu,false,
2024-01-01 17:00:00,Latvia,Latvia,LV,46.61,81.41,90.84,89.04,entsoe.eu,false,
2024-01-01 18:00:00,Latvia,Latvia,LV,71.49,108.4,88.52,86.75,entsoe.eu,false,
2024-01-01 19:00:00,Latvia,Latvia,LV,82.57,122.04,87.09,85.7,entsoe.eu,false,
2024-01-01 20:00:00,Latvia,Latvia,LV,101.01,141.88,85.07,84.63,entsoe.eu,false,
2024-01-01 21:00:00,Latvia,Latvia,LV,110.44,152.23,83.9,83.51,entsoe.eu,false,
2024-01-01 22:00:00,Latvia,Latvia,LV,121.02,164.72,81.72,81.29,entsoe.eu,false,
2024-01-01 23:00:00,Latvia,Latvia,LV,119.91,163.34,81.44,81.07,entsoe.eu,false,
2024-01-02 00:00:00,Latvia,Latvia,LV,123.2,166.99,81.01,80.61,entsoe.eu,false,
2024-01-02 01:00:00,Latvia,Latvia,LV,128.08,173.09,80.04,79.65,entsoe.eu,false,
2024-01-02 02:00:00,Latvia,Latvia,LV,120.73,164.63,80.71,80.39,entsoe.eu,false,
2024-01-02 03:00:00,Latvia,Latvia,LV,118.24,162.72,80.77,80.5,entsoe.eu,false,
2024-01-02 04:00:00,Latvia,Latvia,LV,104.73,149.74,80.35,80.1,entsoe.eu,false,
2024-01-02 05:00:00,Latvia,Latvia,LV,108.03,151.88,78.37,77.9,entsoe.eu,false,
2024-01-02 06:00:00,Latvia,Latvia,LV,132.27,184.01,70.76,69.9,entsoe.eu,false,
2024-01-02 07:00:00,Latvia,Latvia,LV,145.69,201.23,67.16,66.21,entsoe.eu,false,
