Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,North Macedonia,North Macedonia,MK,491.39,548.75,28.98,16.07,entsoe.eu,false,
2024-01-01 01:00:00,North Macedonia,North Macedonia,MK,509.7,568.79,26.37,12.71,entsoe.eu,false,
2024-01-01 02:00:00,North Macedonia,North Macedonia,MK,522.21,582.3,24.48,11.45,entsoe.eu,false,
2024-01-01 03:00:00,North Macedonia,North Macedonia,MK,529.58,590.15,23.49,10.53,entsoe.eu,false,
2024-01-01 04:00:00,North Macedonia,North Macedonia,MK,539.76,601.04,21.84,10.25,entsoe.eu,false,
2024-01-01 05:00:00,North Macedonia,North Macedonia,MK,561.75,624.43,19.05,7.19,entsoe.eu,false,
2024-01-01 06:00:00,North Macedonia,North Macedonia,MK,552.43,614.41,20.09,9.55,entsoe.eu,false,
2024-01-01 07:00:00,North Macedonia,North Macedonia,MK,552.64,615.11,20.01,8.71,entsoe.eu,false,
2024-01-01 08:00:00,North Macedonia,North Macedonia,MK,492.38,551.2,28.08,16.47,entsoe.eu,false,
2024-01-01 09:00:00,North Macedonia,North Macedonia,MK,476.56,534.76,29.81,18.87,entsoe.eu,false,
2024-01-01 10:00:00,North Macedonia,North Macedonia,MK,475.18,534.19,29.56,18.02,entsoe.eu,false,
2024-01-01 11:00:00,North Macedonia,North Macedonia,MK,473.15,532.64,29.52,17.55,entsoe.eu,false,
2024-01-01 12:00:00,North Macedonia,North Macedonia,MK,498.81,559.84,26.22,13.91,entsoe.eu,false,
2024-01-01 13:00:00,North Macedonia,North Macedonia,MK,515.33,575.62,24.92,13.4,entsoe.eu,false,
2024-01-01 14:00:00,North Macedonia,North Macedonia,MK,482.89,537.89,30.74,20.56,entsoe.eu,false,
2024-01-01 15:00:00,North Macedonia,North Macedonia,MK,469.49,522.27,33.5,23.53,entsoe.eu,false,
2024-01-01 16:00:00,North Macedonia,North Macedonia,MK,458.24,509.88,35.2,25.38,entsoe.eu,false,
2024-01-01 17:00:00,North Macedonia,North Macedonia,MK,457.37,509.16,35.23,24.77,entsoe.eu,false,
2024-01-01 18:00:00,North Macedonia,North Macedonia,MK,461.22,513.53,34.7,23.84,entsoe.eu,false,
2024-01-01 19:00:00,North Macedonia,North Macedonia,MK,465.9,518.91,34.02,22.2,entsoe.eu,false,
2024-01-01 20:00:00,North Macedonia,North Macedonia,MK,462.7,515.86,34.35,21.81,entsoe.eu,false,
2024-01-01 21:00:00,North Macedonia,North Macedonia,MK,447.51,501.24,35.42,22.67,entsoe.eu,false,
2024-01-01 22:00:00,North Macedonia,North Macedonia,MK,453.76,510.29,33.14,19.22,entsoe.eu,false,
2024-01-01 23:00:00,North Macedonia,North Macedonia,MK,450.53,506.98,33.52,19.17,entsoe.eu,false,
2024-01-02 00:00:00,North Macedonia,North Macedonia,MK,476.57,533.51,30.92,16.07,entsoe.eu,false,
2024-01-02 01:00:00,North Macedonia,North Macedonia,MK,499.0,555.94,28.89,13.57,entsoe.eu,false,
2024-01-02 02:00:00,North Macedonia,North Macedonia,MK,523.31,582.04,25.34,11.19,entsoe.eu,false,
2024-01-02 03:00:00,North Macedonia,North Macedonia,MK,541.41,600.84,22.98,10.31,entsoe.eu,false,
2024-01-02 04:00:00,North Macedonia,North Macedonia,MK,535.21,593.86,23.77,12.7,entsoe.eu,false,
2024-01-02 05:00:00,North Macedonia,North Macedonia,MK,532.08,590.15,23.99,16.38,entsoe.eu,false,
2024-01-02 06:00:00,North Macedonia,North Macedonia,MK,539.59,598.05,22.57,17.16,entsoe.eu,false,
2024-01-02 07:00:00,North Macedonia,North Macedonia,MK,526.81,584.21,24.51,19.53,entsoe.eu,false,
2024-01-02 08:00:00,North Macedonia,North Macedonia,MK,514.6,573.77,24.24,20.6,entsoe.eu,false,
2024-01-02 09:00:00,North Macedonia,North Macedonia,MK,504.92,564.36,25.38,20.16,entsoe.eu,false,
2024-01-02 10:00:00,North Macedonia,North Macedonia,MK,482.11,541.11,28.17,21.38,entsoe.eu,false,
2024-01-02 11:00:00,North Macedonia,North Macedonia,MK,487.61,547.35,27.06,20.95,entsoe.eu,false,
2024-01-02 12:00:00,North Macedonia,North Macedonia,MK,485.16,544.01,27.93,20.8,entsoe.eu,false,
2024-01-02 13:00:00,North Macedonia,North Macedonia,MK,492.32,548.62,28.38,22.73,entsoe.eu,false,
2024-01-02 14:00:00,North Macedonia,North Macedonia,MK,513.42,569.23,26.61,21.85,entsoe.eu,false,
2024-01-02 15:00:00,North Macedonia,North Macedonia,MK,491.82,546.32,29.45,24.59,entsoe.eu,false,
2024-01-02 16:00:00,North Macedonia,North Macedonia,MK,475.36,528.63,31.68,26.98,entsoe.eu,false,
2024-01-02 17:00:00,North Macedonia,North Macedonia,MK,478.9,532.44,31.37,25.94,entsoe.eu,false,
2024-01-02 18:00:00,North Macedonia,North Macedonia,MK,477.32,530.05,32.03,26.29,entsoe.eu,false,
2024-01-02 19:00:00,North Macedonia,North Macedonia,MK,480.57,533.72,31.66,25.3,entsoe.eu,false,
2024-01-02 20:00:00,North Macedonia,North Macedonia,MK,489.15,544.05,29.68,23.2,entsoe.eu,false,
2024-01-02 21:00:00,North Macedonia,North Macedonia,MK,452.74,506.18,33.99,26.68,entsoe.eu,false,
2024-01-02 22:00:00,North Macedonia,North Macedonia,MK,475.02,531.89,30.07,21.71,entsoe.eu,false,
2024-01-02 23:00:00,North Macedonia,North Macedonia,MK,489.65,547.83,28.2,17.73,entsoe.eu,false,
2024-01-03 00:00:00,North Macedonia,North Macedonia,MK,508.91,565.27,27.42,17.03,entsoe.eu,false,
2024-01-03 01:00:00,North Macedonia,North Macedonia,MK,563.88,624.08,20.05,9.75,entsoe.eu,false,
2024-01-03 02:00:00,North Macedonia,North Macedonia,MK,570.99,631.85,18.92,8.87,entsoe.eu,false,
2024-01-03 03:00:00,North Macedonia,North Macedonia,MK,570.24,631.24,18.85,8.96,entsoe.eu,false,
2024-01-03 04:00:00,North Macedonia,North Macedonia,MK,586.1,647.81,16.65,8.99,entsoe.eu,false,
2024-01-03 05:00:00,North Macedonia,North Macedonia,MK,547.21,605.18,22.18,16.71,entsoe.eu,false,
2024-01-03 06:00:00,North Macedonia,North Macedonia,MK,542.45,600.49,22.64,17.96,entsoe.eu,false,
2024-01-03 07:00:00,North Macedonia,North Macedonia,MK,535.44,593.03,23.48,19.32,entsoe.eu,false,
2024-01-03 08:00:00,North Macedonia,North Macedonia,MK,515.18,572.8,25.3,21.64,entsoe.eu,false,
2024-01-03 09:00:00,North Macedonia,North Macedonia,MK,514.87,574.25,24.46,19.44,entsoe.eu,false,
2024-01-03 10:00:00,North Macedonia,North Macedonia,MK,512.2,571.15,24.91,20.47,entsoe.eu,false,
2024-01-03 11:00:00,North Macedonia,North Macedonia,MK,506.16,564.09,26.15,21.55,entsoe.eu,false,
2024-01-03 12:00:00,North Macedonia,North Macedonia,MK,492.21,548.79,28.33,23.33,entsoe.eu,false,
2024-01-03 13:00:00,North Macedonia,North Macedonia,MK,476.5,531.83,30.44,25.58,entsoe.eu,false,
2024-01-03 14:00:00,North Macedonia,North Macedonia,MK,488.62,547.34,26.87,22.98,entsoe.eu,false,
2024-01-03 15:00:00,North Macedonia,North Macedonia,MK,480.22,536.11,29.48,25.16,entsoe.eu,false,
2024-01-03 16:00:00,North Macedonia,North Macedonia,MK,453.29,508.08,32.44,28.68,entsoe.eu,false,
2024-01-03 17:00:00,North Macedonia,North Macedonia,MK,477.1,531.82,30.67,25.63,entsoe.eu,false,
2024-01-03 18:00:00,North Macedonia,North Macedonia,MK,481.28,537.23,29.62,24.51,entsoe.eu,false,
2024-01-03 19:00:00,North Macedonia,North Macedonia,MK,479.08,533.8,30.88,24.05,entsoe.eu,false,
2024-01-03 20:00:00,North Macedonia,North Macedonia,MK,482.73,538.16,30.47,22.04,entsoe.eu,false,
2024-01-03 21:00:00,North Macedonia,North Macedonia,MK,451.04,506.65,33.63,23.61,entsoe.eu,false,
2024-01-03 22:00:00,North Macedonia,North Macedonia,MK,462.54,519.34,32.02,20.06,entsoe.eu,false,
2024-01-03 23:00:00,North Macedonia,North Macedonia,MK,451.07,507.86,33.11,20.67,entsoe.eu,false,
2024-01-04 00:00:00,North Macedonia,North Macedonia,MK,475.68,533.37,30.33,17.47,entsoe.eu,false,
2024-01-04 01:00:00,North Macedonia,North Macedonia,MK,511.74,572.41,25.25,11.96,entsoe.eu,false,
2024-01-04 02:00:00,North Macedonia,North Macedonia,MK,528.91,591.35,22.57,9.56,entsoe.eu,false,
2024-01-04 03:00:00,North Macedonia,North Macedonia,MK,540.58,603.77,20.83,8.91,entsoe.eu,false,
2024-01-04 04:00:00,North Macedonia,North Macedonia,MK,553.71,617.57,18.78,9.29,entsoe.eu,false,
2024-01-04 05:00:00,North Macedonia,North Macedonia,MK,522.82,583.45,23.3,15.92,entsoe.eu,false,
2024-01-04 06:00:00,North Macedonia,North Macedonia,MK,520.01,579.34,24.13,17.9,entsoe.eu,false,
2024-01-04 07:00:00,North Macedonia,North Macedonia,MK,521.23,582.53,22.9,16.29,entsoe.eu,false,
2024-01-04 08:00:00,North Macedonia,North Macedonia,MK,464.34,526.12,29.47,24.93,entsoe.eu,false,
2024-01-04 09:00:00,North Macedonia,North Macedonia,MK,403.83,460.06,38.83,35.72,entsoe.eu,false,
2024-01-04 10:00:00,North Macedonia,North Macedonia,MK,386.56,441.7,40.99,38.34,entsoe.eu,false,
2024-01-04 11:00:00,North Macedonia,North Macedonia,MK,400.45,457.76,38.22,35.74,entsoe.eu,false,
2024-01-04 12:00:00,North Macedonia,North Macedonia,MK,405.76,464.03,37.08,35.25,entsoe.eu,false,
2024-01-04 13:00:00,North Macedonia,North Macedonia,MK,517.99,584.21,18.94,17.88,entsoe.eu,false,
2024-01-04 14:00:00,North Macedonia,North Macedonia,MK,481.92,542.12,25.69,25.64,entsoe.eu,false,
2024-01-04 15:00:00,North Macedonia,North Macedonia,MK,455.88,515.11,29.04,29.03,entsoe.eu,false,
2024-01-04 16:00:00,North Macedonia,North Macedonia,MK,452.2,510.5,30.24,30.18,entsoe.eu,false,
2024-01-04 17:00:00,North Macedonia,North Macedonia,MK,433.53,491.18,32.98,32.84,entsoe.eu,false,
2024-01-04 18:00:00,North Macedonia,North Macedonia,MK,467.71,525.24,28.9,28.72,entsoe.eu,false,
2024-01-04 19:00:00,North Macedonia,North Macedonia,MK,486.07,544.56,26.69,26.49,entsoe.eu,false,
2024-01-04 20:00:00,North Macedonia,North Macedonia,MK,499.33,557.86,25.85,24.16,entsoe.eu,false,
2024-01-04 21:00:00,North Macedonia,North Macedonia,MK,437.86,492.94,33.83,29.92,entsoe.eu,false,
2024-01-04 22:00:00,North Macedonia,North Macedonia,MK,448.92,505.63,32.08,27.11,entsoe.eu,false,
2024-01-04 23:00:00,North Macedonia,North Macedonia,MK,441.4,495.16,34.8,28.37,entsoe.eu,false,
2024-01-05 00:00:00,North Macedonia,North Macedonia,MK,473.26,528.31,31.03,24.66,entsoe.eu,false,
2024-01-05 01:00:00,North Macedonia,North Macedonia,MK,546.34,606.82,20.86,15.11,entsoe.eu,false,
2024-01-05 02:00:00,North Macedonia,North Macedonia,MK,583.32,646.72,15.59,10.5,entsoe.eu,false,
2024-01-05 03:00:00,North Macedonia,North Macedonia,MK,593.97,657.94,14.05,9.92,entsoe.eu,false,
2024-01-05 04:00:00,North Macedonia,North Macedonia,MK,595.48,659.76,13.02,12.12,entsoe.eu,false,
2024-01-05 05:00:00,North Macedonia,North Macedonia,MK,562.17,624.31,17.28,16.94,entsoe.eu,false,
2024-01-05 06:00:00,North Macedonia,North Macedonia,MK,531.92,592.07,21.38,21.2,entsoe.eu,false,
2024-01-05 07:00:00,North Macedonia,North Macedonia,MK,535.0,598.64,19.12,18.24,entsoe.eu,false,
2024-01-05 08:00:00,North Macedonia,North Macedonia,MK,494.86,557.63,25.14,22.27,entsoe.eu,false,
2024-01-05 09:00:00,North Macedonia,North Macedonia,MK,490.48,551.81,26.31,21.95,entsoe.eu,false,
2024-01-05 10:00:00,North Macedonia,North Macedonia,MK,455.04,512.81,32.37,24.46,entsoe.eu,false,
2024-01-05 11:00:00,North Macedonia,North Macedonia,MK,484.64,545.56,27.35,17.61,entsoe.eu,false,
2024-01-05 12:00:00,North Macedonia,North Macedonia,MK,438.11,494.01,34.05,26.53,entsoe.eu,false,
2024-01-05 13:00:00,North Macedonia,North Macedonia,MK,453.32,511.04,30.86,26.08,entsoe.eu,false,
2024-01-05 14:00:00,North Macedonia,North Macedonia,MK,466.99,523.6,29.86,26.82,entsoe.eu,false,
2024-01-05 15:00:00,North Macedonia,North Macedonia,MK,455.11,511.58,30.75,29.52,entsoe.eu,false,
2024-01-05 16:00:00,North Macedonia,North Macedonia,MK,450.68,505.64,32.31,30.16,entsoe.eu,false,
