Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Netherlands,Netherlands,NL,85.65,119.37,79.74,72.67,ned.nl,false,
2024-01-01 01:00:00,Netherlands,Netherlands,NL,85.95,119.66,79.73,72.77,ned.nl,false,
2024-01-01 02:00:00,Netherlands,Netherlands,NL,85.57,119.13,79.81,72.94,ned.nl,false,
2024-01-01 03:00:00,Netherlands,Netherlands,NL,85.62,119.15,79.68,74.2,ned.nl,false,
2024-01-01 04:00:00,Netherlands,Netherlands,NL,90.34,124.81,78.97,74.55,ned.nl,false,
2024-01-01 05:00:00,Netherlands,Netherlands,NL,91.9,126.84,78.46,72.29,ned.nl,false,
2024-01-01 06:00:00,Netherlands,Netherlands,NL,97.01,133.23,77.22,71.89,ned.nl,false,
2024-01-01 07:00:00,Netherlands,Netherlands,NL,96.38,132.75,77.75,71.61,ned.nl,false,
2024-01-01 08:00:00,Netherlands,Netherlands,NL,97.78,135.12,77.83,72.78,ned.nl,false,
2024-01-01 09:00:00,Netherlands,Netherlands,NL,94.09,132.16,78.58,73.4,ned.nl,false,
2024-01-01 10:00:00,Netherlands,Netherlands,NL,86.46,124.52,80.44,75.16,ned.nl,false,
2024-01-01 11:00:00,Netherlands,Netherlands,NL,81.52,118.84,81.24,75.48,ned.nl,false,
2024-01-01 12:00:00,Netherlands,Netherlands,NL,78.16,115.16,81.63,74.95,ned.nl,false,
2024-01-01 13:00:00,Netherlands,Netherlands,NL,80.19,117.24,81.13,73.14,ned.nl,false,
2024-01-01 14:00:00,Netherlands,Netherlands,NL,92.89,131.53,79.3,70.69,ned.nl,false,
2024-01-01 15:00:00,Netherlands,Netherlands,NL,114.82,156.29,74.66,64.1,ned.nl,false,
2024-01-01 16:00:00,Netherlands,Netherlands,NL,137.6,183.62,69.22,60.56,ned.nl,false,
2024-01-01 17:00:00,Netherlands,Netherlands,NL,131.26,174.06,71.93,61.27,ned.nl,false,
2024-01-01 18:00:00,Netherlands,Netherlands,NL,127.68,169.88,72.1,59.06,ned.nl,false,
2024-01-01 19:00:00,Netherlands,Netherlands,NL,133.88,178.38,71.01,57.42,ned.nl,false,
2024-01-01 20:00:00,Netherlands,Netherlands,NL,118.75,159.76,73.9,60.66,ned.nl,false,
2024-01-01 21:00:00,Netherlands,Netherlands,NL,114.79,155.32,73.34,60.74,ned.nl,false,
2024-01-01 22:00:00,Netherlands,Netherlands,NL,107.79,146.78,75.05,61.55,ned.nl,false,
2024-01-01 23:00:00,Netherlands,Netherlands,NL,101.54,139.24,76.18,60.76,ned.nl,false,
2024-01-02 00:00:00,Netherlands,Netherlands,NL,97.03,133.35,77.26,61.55,ned.nl,false,
2024-01-02 01:00:00,Netherlands,Netherlands,NL,93.54,129.21,78.06,64.32,ned.nl,false,
2024-01-02 02:00:00,Netherlands,Netherlands,NL,90.62,125.5,78.76,65.54,ned.nl,false,
2024-01-02 03:00:00,Netherlands,Netherlands,NL,89.99,124.75,78.88,66.64,ned.nl,false,
2024-01-02 04:00:00,Netherlands,Netherlands,NL,94.82,130.91,77.63,66.86,ned.nl,false,
2024-01-02 05:00:00,Netherlands,Netherlands,NL,101.95,139.91,75.9,64.01,ned.nl,false,
2024-01-02 06:00:00,Netherlands,Netherlands,NL,105.32,144.26,75.01,64.54,ned.nl,false,
2024-01-02 07:00:00,Netherlands,Netherlands,NL,113.15,154.05,73.22,63.93,ned.nl,false,
2024-01-02 08:00:00,Netherlands,Netherlands,NL,116.88,158.54,73.55,63.81,ned.nl,false,
2024-01-02 09:00:00,Netherlands,Netherlands,NL,118.12,161.73,73.43,63.52,ned.nl,false,
2024-01-02 10:00:00,Netherlands,Netherlands,NL,123.32,168.9,72.13,62.69,ned.nl,false,
2024-01-02 11:00:00,Netherlands,Netherlands,NL,135.85,183.56,69.77,60.84,ned.nl,false,
2024-01-02 12:00:00,Netherlands,Netherlands,NL,147.45,197.64,66.74,57.29,ned.nl,false,
2024-01-02 13:00:00,Netherlands,Netherlands,NL,147.4,197.42,66.4,56.54,ned.nl,false,
2024-01-02 14:00:00,Netherlands,Netherlands,NL,149.67,199.81,65.47,56.53,ned.nl,false,
2024-01-02 15:00:00,Netherlands,Netherlands,NL,146.36,195.65,66.3,58.01,ned.nl,false,
