Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Serbia,Serbia,RS,392.69,435.29,46.12,41.31,entsoe.eu,false,
2024-01-01 01:00:00,Serbia,Serbia,RS,396.34,439.27,45.58,41.03,entsoe.eu,false,
2024-01-01 02:00:00,Serbia,Serbia,RS,415.16,459.52,42.96,39.27,entsoe.eu,false,
2024-01-01 03:00:00,Serbia,Serbia,RS,435.78,481.55,40.22,37.11,entsoe.eu,false,
2024-01-01 04:00:00,Serbia,Serbia,RS,445.61,492.03,38.92,36.71,entsoe.eu,false,
2024-01-01 05:00:00,Serbia,Serbia,RS,434.42,480.33,40.27,37.56,entsoe.eu,false,
2024-01-01 06:00:00,Serbia,Serbia,RS,424.94,469.95,41.51,39.36,entsoe.eu,false,
2024-01-01 07:00:00,Serbia,Serbia,RS,404.93,449.0,44.09,40.81,entsoe.eu,false,
2024-01-01 08:00:00,Serbia,Serbia,RS,406.02,449.57,44.38,41.36,entsoe.eu,false,
2024-01-01 09:00:00,Serbia,Serbia,RS,403.67,446.96,44.66,41.61,entsoe.eu,false,
2024-01-01 10:00:00,Serbia,Serbia,RS,391.45,433.83,46.4,42.95,entsoe.eu,false,
2024-01-01 11:00:00,Serbia,Serbia,RS,389.56,431.92,46.61,43.08,entsoe.eu,false,
2024-01-01 12:00:00,Serbia,Serbia,RS,391.48,434.1,46.24,42.86,entsoe.eu,false,
2024-01-01 13:00:00,Serbia,Serbia,RS,401.62,445.46,44.59,41.07,entsoe.eu,false,
2024-01-01 14:00:00,Serbia,Serbia,RS,406.5,450.12,44.07,40.8,entsoe.eu,false,
2024-01-01 15:00:00,Serbia,Serbia,RS,406.49,449.42,44.25,41.07,entsoe.eu,false,
2024-01-01 16:00:00,Serbia,Serbia,RS,420.25,463.93,42.45,39.4,entsoe.eu,false,
2024-01-01 17:00:00,Serbia,Serbia,RS,430.2,474.52,41.17,37.99,entsoe.eu,false,
2024-01-01 18:00:00,Serbia,Serbia,RS,425.43,469.61,41.85,38.23,entsoe.eu,false,
2024-01-01 19:00:00,Serbia,Serbia,RS,418.6,462.81,42.72,38.53,entsoe.eu,false,
2024-01-01 20:00:00,Serbia,Serbia,RS,425.73,470.61,41.84,37.35,entsoe.eu,false,
2024-01-01 21:00:00,Serbia,Serbia,RS,424.16,469.18,42.04,36.69,entsoe.eu,false,
2024-01-01 22:00:00,Serbia,Serbia,RS,420.91,465.74,42.51,36.95,entsoe.eu,false,
2024-01-01 23:00:00,Serbia,Serbia,RS,423.3,468.12,42.36,36.6,entsoe.eu,false,
2024-01-02 00:00:00,Serbia,Serbia,RS,430.77,476.26,41.28,35.55,entsoe.eu,false,
2024-01-02 01:00:00,Serbia,Serbia,RS,441.45,487.8,39.81,34.3,entsoe.eu,false,
2024-01-02 02:00:00,Serbia,Serbia,RS,461.4,509.32,37.04,32.16,entsoe.eu,false,
2024-01-02 03:00:00,Serbia,Serbia,RS,443.42,490.43,39.2,33.84,entsoe.eu,false,
2024-01-02 04:00:00,Serbia,Serbia,RS,447.27,494.5,38.6,33.65,entsoe.eu,false,
2024-01-02 05:00:00,Serbia,Serbia,RS,467.49,513.65,37.96,36.09,entsoe.eu,false,
2024-01-02 06:00:00,Serbia,Serbia,RS,455.87,500.16,40.1,39.37,entsoe.eu,false,
2024-01-02 07:00:00,Serbia,Serbia,RS,448.5,491.51,41.71,41.4,entsoe.eu,false,
2024-01-02 08:00:00,Serbia,Serbia,RS,438.17,480.2,43.17,42.79,entsoe.eu,false,
2024-01-02 09:00:00,Serbia,Serbia,RS,426.19,467.47,44.68,44.24,entsoe.eu,false,
2024-01-02 10:00:00,Serbia,Serbia,RS,432.0,472.98,44.61,44.39,entsoe.eu,false,
2024-01-02 11:00:00,Serbia,Serbia,RS,447.64,490.36,41.74,41.54,entsoe.eu,false,
2024-01-02 12:00:00,Serbia,Serbia,RS,463.95,508.12,39.24,38.94,entsoe.eu,false,
2024-01-02 13:00:00,Serbia,Serbia,RS,472.25,516.84,38.13,38.04,entsoe.eu,false,
2024-01-02 14:00:00,Serbia,Serbia,RS,468.82,513.11,38.54,38.32,entsoe.eu,false,
2024-01-02 15:00:00,Serbia,Serbia,RS,450.8,493.17,41.64,41.18,entsoe.eu,false,
2024-01-02 16:00:00,Serbia,Serbia,RS,441.2,482.61,43.26,42.94,entsoe.eu,false,
2024-01-02 17:00:00,Serbia,Serbia,RS,437.9,479.43,43.36,43.23,entsoe.eu,false,
2024-01-02 18:00:00,Serbia,Serbia,RS,435.97,477.9,42.9,42.79,entsoe.eu,false,
2024-01-02 19:00:00,Serbia,Serbia,RS,433.62,475.4,43.42,42.97,entsoe.eu,false,
2024-01-02 20:00:00,Serbia,Serbia,RS,430.12,473.44,41.99,40.8,entsoe.eu,false,
2024-01-02 21:00:00,Serbia,Serbia,RS,430.87,474.92,41.11,39.73,entsoe.eu,false,
