Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Russia,Europe-Ural,RU,391.88,357.41,31.89,2.68,so-ups.ru,false,
2024-01-01 01:00:00,Russia,Europe-Ural,RU,391.16,356.36,31.99,2.61,so-ups.ru,false,
2024-01-01 02:00:00,Russia,Europe-Ural,RU,391.5,357.05,31.96,2.64,so-ups.ru,false,
2024-01-01 03:00:00,Russia,Europe-Ural,RU,391.6,357.3,31.94,2.99,so-ups.ru,false,
2024-01-01 04:00:00,Russia,Europe-Ural,RU,389.55,355.55,32.28,3.53,so-ups.ru,false,
2024-01-01 05:00:00,Russia,Europe-Ural,RU,381.89,348.66,33.59,5.05,so-ups.ru,false,
2024-01-01 06:00:00,Russia,Europe-Ural,RU,382.16,349.17,33.57,5.33,so-ups.ru,false,
2024-01-01 07:00:00,Russia,Europe-Ural,RU,384.1,351.34,33.26,5.5,so-ups.ru,false,
2024-01-01 08:00:00,Russia,Europe-Ural,RU,383.1,350.4,33.41,5.61,so-ups.ru,false,
2024-01-01 09:00:00,Russia,Europe-Ural,RU,383.16,350.09,33.39,5.7,so-ups.ru,false,
2024-01-01 10:00:00,Russia,Europe-Ural,RU,383.31,349.99,33.37,5.67,so-ups.ru,false,
2024-01-01 11:00:00,Russia,Europe-Ural,RU,383.7,350.7,33.31,5.83,so-ups.ru,false,
2024-01-01 12:00:00,Russia,Europe-Ural,RU,382.6,349.7,33.5,6.35,so-ups.ru,false,
2024-01-01 13:00:00,Russia,Europe-Ural,RU,375.88,343.48,34.63,8.13,so-ups.ru,false,
2024-01-01 14:00:00,Russia,Europe-Ural,RU,374.44,342.81,34.91,8.82,so-ups.ru,false,
2024-01-01 15:00:00,Russia,Europe-Ural,RU,378.18,346.19,34.28,7.99,so-ups.ru,false,
2024-01-01 16:00:00,Russia,Europe-Ural,RU,376.49,344.55,34.57,8.2,so-ups.ru,false,
2024-01-01 17:00:00,Russia,Europe-Ural,RU,378.18,346.06,34.28,7.68,so-ups.ru,false,
2024-01-01 18:00:00,Russia,Europe-Ural,RU,378.53,346.24,34.22,7.3,so-ups.ru,false,
2024-01-01 19:00:00,Russia,Europe-Ural,RU,379.82,347.0,33.98,6.28,so-ups.ru,false,
2024-01-01 20:00:00,Russia,Europe-Ural,RU,376.69,344.64,34.56,6.37,so-ups.ru,false,
2024-01-01 21:00:00,Russia,Europe-Ural,RU,392.22,357.84,31.85,3.23,so-ups.ru,false,
2024-01-01 22:00:00,Russia,Europe-Ural,RU,392.3,357.56,31.82,2.71,so-ups.ru,false,
2024-01-01 23:00:00,Russia,Europe-Ural,RU,390.27,355.7,32.16,2.64,so-ups.ru,false,
2024-01-02 00:00:00,Russia,Europe-Ural,RU,390.17,355.72,32.18,2.57,so-ups.ru,false,
2024-01-02 01:00:00,Russia,Europe-Ural,RU,391.03,356.58,32.04,2.63,so-ups.ru,false,
2024-01-02 02:00:00,Russia,Europe-Ural,RU,391.55,357.12,31.94,3.01,so-ups.ru,false,
2024-01-02 03:00:00,Russia,Europe-Ural,RU,387.99,354.19,32.56,4.2,so-ups.ru,false,
2024-01-02 04:00:00,Russia,Europe-Ural,RU,390.06,356.15,32.19,4.45,so-ups.ru,false,
2024-01-02 05:00:00,Russia,Europe-Ural,RU,391.98,358.26,31.87,4.87,so-ups.ru,false,
2024-01-02 06:00:00,Russia,Europe-Ural,RU,393.97,360.38,31.53,5.09,so-ups.ru,false,
2024-01-02 07:00:00,Russia,Europe-Ural,RU,394.36,360.35,31.42,5.2,so-ups.ru,false,
2024-01-02 08:00:00,Russia,Europe-Ural,RU,394.15,359.91,31.47,5.37,so-ups.ru,false,
2024-01-02 09:00:00,Russia,Europe-Ural,RU,394.04,359.56,31.48,5.42,so-ups.ru,false,
2024-01-02 10:00:00,Russia,Europe-Ural,RU,394.3,359.67,31.43,5.44,so-ups.ru,false,
2024-01-02 11:00:00,Russia,Europe-Ural,RU,393.04,358.62,31.66,5.94,so-ups.ru,false,
2024-01-02 12:00:00,Russia,Europe-Ural,RU,389.83,355.89,32.22,6.88,so-ups.ru,false,
2024-01-02 13:00:00,Russia,Europe-Ural,RU,385.19,352.23,33.03,8.3,so-ups.ru,false,
2024-01-02 14:00:00,Russia,Europe-Ural,RU,384.99,352.27,33.07,8.48,so-ups.ru,false,
2024-01-02 15:00:00,Russia,Europe-Ural,RU,387.23,354.2,32.69,8.01,so-ups.ru,false,
2024-01-02 16:00:00,Russia,Europe-Ural,RU,388.19,354.63,32.51,7.63,so-ups.ru,false,
2024-01-02 17:00:00,Russia,Europe-Ural,RU,391.47,357.23,31.93,6.78,so-ups.ru,false,
2024-01-02 18:00:00,Russia,Europe-Ural,RU,393.4,358.8,31.59,6.09,so-ups.ru,false,
2024-01-02 19:00:00,Russia,Europe-Ural,RU,397.09,362.26,30.97,5.1,so-ups.ru,false,
2024-01-02 20:00:00,Russia,Europe-Ural,RU,394.26,359.65,31.46,4.97,so-ups.ru,false,
2024-01-02 21:00:00,Russia,Europe-Ural,RU,395.58,360.48,31.22,4.13,so-ups.ru,false,
2024-01-02 22:00:00,Russia,Europe-Ural,RU,397.37,362.51,30.93,3.5,so-ups.ru,false,
2024-01-02 23:00:00,Russia,Europe-Ural,RU,399.29,364.08,30.6,2.97,so-ups.ru,false,
2024-01-03 00:00:00,Russia,Europe-Ural,RU,400.23,364.78,30.42,2.71,so-ups.ru,false,
2024-01-03 01:00:00,Russia,Europe-Ural,RU,401.0,365.84,30.3,2.83,so-ups.ru,false,
2024-01-03 02:00:00,Russia,Europe-Ural,RU,399.67,365.04,30.52,3.49,so-ups.ru,false,
2024-01-03 03:00:00,Russia,Europe-Ural,RU,397.18,363.16,30.98,4.67,so-ups.ru,false,
2024-01-03 04:00:00,Russia,Europe-Ural,RU,399.6,365.32,30.55,4.76,so-ups.ru,false,
2024-01-03 05:00:00,Russia,Europe-Ural,RU,398.92,364.72,30.67,5.54,so-ups.ru,false,
2024-01-03 06:00:00,Russia,Europe-Ural,RU,397.11,363.19,31.0,6.48,so-ups.ru,false,
2024-01-03 07:00:00,Russia,Europe-Ural,RU,398.46,363.5,30.7,6.3,so-ups.ru,false,
2024-01-03 08:00:00,Russia,Europe-Ural,RU,399.35,364.0,30.55,6.4,so-ups.ru,false,
2024-01-03 09:00:00,Russia,Europe-Ural,RU,399.69,364.0,30.48,6.31,so-ups.ru,false,
2024-01-03 10:00:00,Russia,Europe-Ural,RU,401.7,365.73,30.13,5.95,so-ups.ru,false,
2024-01-03 11:00:00,Russia,Europe-Ural,RU,401.74,366.04,30.14,6.06,so-ups.ru,false,
2024-01-03 12:00:00,Russia,Europe-Ural,RU,400.27,364.99,30.4,6.53,so-ups.ru,false,
2024-01-03 13:00:00,Russia,Europe-Ural,RU,396.9,362.2,31.0,7.6,so-ups.ru,false,
2024-01-03 14:00:00,Russia,Europe-Ural,RU,399.53,364.27,30.54,7.07,so-ups.ru,false,
2024-01-03 15:00:00,Russia,Europe-Ural,RU,400.5,365.11,30.35,6.76,so-ups.ru,false,
2024-01-03 16:00:00,Russia,Europe-Ural,RU,402.73,367.14,29.99,6.08,so-ups.ru,false,
2024-01-03 17:00:00,Russia,Europe-Ural,RU,406.47,370.16,29.32,5.1,so-ups.ru,false,
2024-01-03 18:00:00,Russia,Europe-Ural,RU,406.74,370.32,29.28,4.74,so-ups.ru,false,
2024-01-03 19:00:00,Russia,Europe-Ural,RU,404.4,368.39,29.67,4.66,so-ups.ru,false,
2024-01-03 20:00:00,Russia,Europe-Ural,RU,399.53,363.77,30.46,4.62,so-ups.ru,false,
2024-01-03 21:00:00,Russia,Europe-Ural,RU,402.46,367.06,30.07,3.57,so-ups.ru,false,
2024-01-03 22:00:00,Russia,Europe-Ural,RU,405.7,370.32,29.53,2.77,so-ups.ru,false,
2024-01-03 23:00:00,Russia,Europe-Ural,RU,406.02,370.53,29.46,2.54,so-ups.ru,false,
2024-01-04 00:00:00,Russia,Europe-Ural,RU,404.89,368.74,29.58,2.47,so-ups.ru,false,
2024-01-04 01:00:00,Russia,Europe-Ural,RU,406.42,370.47,29.34,2.56,so-ups.ru,false,
2024-01-04 02:00:00,Russia,Europe-Ural,RU,405.56,370.0,29.5,3.29,so-ups.ru,false,
2024-01-04 03:00:00,Russia,Europe-Ural,RU,401.02,366.11,30.29,4.63,so-ups.ru,false,
2024-01-04 04:00:00,Russia,Europe-Ural,RU,403.94,369.03,29.8,4.79,so-ups.ru,false,
2024-01-04 05:00:00,Russia,Europe-Ural,RU,405.88,370.45,29.43,5.06,so-ups.ru,false,
2024-01-04 06:00:00,Russia,Europe-Ural,RU,403.87,368.77,29.79,6.04,so-ups.ru,false,
2024-01-04 07:00:00,Russia,Europe-Ural,RU,403.71,368.22,29.79,6.53,so-ups.ru,false,
2024-01-04 08:00:00,Russia,Europe-Ural,RU,403.88,367.87,29.75,6.39,so-ups.ru,false,
2024-01-04 09:00:00,Russia,Europe-Ural,RU,404.65,368.55,29.62,6.11,so-ups.ru,false,
2024-01-04 10:00:00,Russia,Europe-Ural,RU,404.93,369.29,29.6,6.33,so-ups.ru,false,
2024-01-04 11:00:00,Russia,Europe-Ural,RU,405.55,369.32,29.47,6.21,so-ups.ru,false,
2024-01-04 12:00:00,Russia,Europe-Ural,RU,404.04,367.92,29.73,6.54,so-ups.ru,false,
2024-01-04 13:00:00,Russia,Europe-Ural,RU,402.82,367.4,29.96,7.13,so-ups.ru,false,
2024-01-04 14:00:00,Russia,Europe-Ural,RU,406.1,370.6,29.41,6.67,so-ups.ru,false,
2024-01-04 15:00:00,Russia,Europe-Ural,RU,404.29,368.68,29.71,6.65,so-ups.ru,false,
2024-01-04 16:00:00,Russia,Europe-Ural,RU,405.55,369.53,29.49,5.97,so-ups.ru,false,
2024-01-04 17:00:00,Russia,Europe-Ural,RU,407.05,370.95,29.21,5.24,so-ups.ru,false,
2024-01-04 18:00:00,Russia,Europe-Ural,RU,404.76,368.26,29.58,4.97,so-ups.ru,false,
2024-01-04 19:00:00,Russia,Europe-Ural,RU,404.43,367.89,29.65,4.63,so-ups.ru,false,
2024-01-04 20:00:00,Russia,Europe-Ural,RU,401.76,365.68,30.08,4.47,so-ups.ru,false,
2024-01-04 21:00:00,Russia,Europe-Ural,RU,403.78,367.28,29.75,3.45,so-ups.ru,false,
2024-01-04 22:00:00,Russia,Europe-Ural,RU,406.96,371.0,29.33,2.94,so-ups.ru,false,
2024-01-04 23:00:00,Russia,Europe-Ural,RU,407.03,370.94,29.3,2.61,so-ups.ru,false,
2024-01-05 00:00:00,Russia,Europe-Ural,RU,407.37,371.07,29.17,2.45,so-ups.ru,false,
