Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Slovenia,Slovenia,SL,142.82,166.92,84.41,38.97,entsoe.eu,false,
2024-01-01 01:00:00,Slovenia,Slovenia,SL,136.95,160.72,84.68,39.46,entsoe.eu,false,
2024-01-01 02:00:00,Slovenia,Slovenia,SL,133.52,157.42,84.48,39.94,entsoe.eu,false,
2024-01-01 03:00:00,Slovenia,Slovenia,SL,133.37,157.31,83.97,38.98,entsoe.eu,false,
2024-01-01 04:00:00,Slovenia,Slovenia,SL,130.12,153.12,84.45,40.52,entsoe.eu,false,
2024-01-01 05:00:00,Slovenia,Slovenia,SL,124.96,147.02,85.5,41.8,entsoe.eu,false,
2024-01-01 06:00:00,Slovenia,Slovenia,SL,128.09,150.61,85.19,40.58,entsoe.eu,false,
2024-01-01 07:00:00,Slovenia,Slovenia,SL,120.82,141.84,86.48,43.34,entsoe.eu,false,
2024-01-01 08:00:00,Slovenia,Slovenia,SL,108.65,128.2,87.89,47.51,entsoe.eu,false,
2024-01-01 09:00:00,Slovenia,Slovenia,SL,107.77,127.66,88.15,48.07,entsoe.eu,false,
2024-01-01 10:00:00,Slovenia,Slovenia,SL,103.8,123.39,88.74,49.29,entsoe.eu,false,
2024-01-01 11:00:00,Slovenia,Slovenia,SL,107.26,127.08,88.24,47.68,entsoe.eu,false,
2024-01-01 12:00:00,Slovenia,Slovenia,SL,104.27,123.76,88.54,49.94,entsoe.eu,false,
2024-01-01 13:00:00,Slovenia,Slovenia,SL,96.16,115.15,89.5,54.36,entsoe.eu,false,
2024-01-01 14:00:00,Slovenia,Slovenia,SL,95.84,113.74,89.83,55.25,entsoe.eu,false,
2024-01-01 15:00:00,Slovenia,Slovenia,SL,96.37,105.49,91.28,61.77,entsoe.eu,false,
2024-01-01 16:00:00,Slovenia,Slovenia,SL,106.47,109.7,91.76,63.83,entsoe.eu,false,
2024-01-01 17:00:00,Slovenia,Slovenia,SL,108.43,111.73,91.71,63.97,entsoe.eu,false,
2024-01-01 18:00:00,Slovenia,Slovenia,SL,97.59,105.59,91.31,62.46,entsoe.eu,false,
2024-01-01 19:00:00,Slovenia,Slovenia,SL,93.47,104.98,91.13,61.71,entsoe.eu,false,
2024-01-01 20:00:00,Slovenia,Slovenia,SL,93.11,108.3,90.59,59.74,entsoe.eu,false,
2024-01-01 21:00:00,Slovenia,Slovenia,SL,93.19,109.11,90.47,57.45,entsoe.eu,false,
2024-01-01 22:00:00,Slovenia,Slovenia,SL,100.69,118.95,89.08,50.97,entsoe.eu,false,
2024-01-01 23:00:00,Slovenia,Slovenia,SL,110.52,127.84,88.55,44.32,entsoe.eu,false,
2024-01-02 00:00:00,Slovenia,Slovenia,SL,113.12,130.59,88.26,43.66,entsoe.eu,false,
2024-01-02 01:00:00,Slovenia,Slovenia,SL,119.6,139.04,87.05,40.98,entsoe.eu,false,
2024-01-02 02:00:00,Slovenia,Slovenia,SL,121.08,140.34,87.25,40.98,entsoe.eu,false,
2024-01-02 03:00:00,Slovenia,Slovenia,SL,116.63,136.44,87.79,44.36,entsoe.eu,false,
2024-01-02 04:00:00,Slovenia,Slovenia,SL,110.85,129.6,88.5,46.62,entsoe.eu,false,
2024-01-02 05:00:00,Slovenia,Slovenia,SL,97.21,114.42,90.02,53.87,entsoe.eu,false,
2024-01-02 06:00:00,Slovenia,Slovenia,SL,108.06,118.13,90.8,58.54,entsoe.eu,false,
2024-01-02 07:00:00,Slovenia,Slovenia,SL,112.54,119.11,91.12,60.06,entsoe.eu,false,
2024-01-02 08:00:00,Slovenia,Slovenia,SL,113.18,118.31,91.46,59.92,entsoe.eu,false,
2024-01-02 09:00:00,Slovenia,Slovenia,SL,113.49,118.46,91.61,58.08,entsoe.eu,false,
2024-01-02 10:00:00,Slovenia,Slovenia,SL,119.86,124.3,91.24,55.77,entsoe.eu,false,
2024-01-02 11:00:00,Slovenia,Slovenia,SL,125.53,129.49,90.69,57.43,entsoe.eu,false,
2024-01-02 12:00:00,Slovenia,Slovenia,SL,121.42,125.93,90.92,57.74,entsoe.eu,false,
2024-01-02 13:00:00,Slovenia,Slovenia,SL,111.56,116.01,91.67,60.21,entsoe.eu,false,
2024-01-02 14:00:00,Slovenia,Slovenia,SL,119.38,124.0,90.91,60.73,entsoe.eu,false,
2024-01-02 15:00:00,Slovenia,Slovenia,SL,112.43,116.07,91.54,62.35,entsoe.eu,false,
2024-01-02 16:00:00,Slovenia,Slovenia,SL,111.97,115.69,91.57,61.98,entsoe.eu,false,
2024-01-02 17:00:00,Slovenia,Slovenia,SL,113.82,118.11,91.35,61.5,entsoe.eu,false,
2024-01-02 18:00:00,Slovenia,Slovenia,SL,110.33,116.58,91.4,60.8,entsoe.eu,false,
2024-01-02 19:00:00,Slovenia,Slovenia,SL,91.79,109.54,90.38,57.1,entsoe.eu,false,
2024-01-02 20:00:00,Slovenia,Slovenia,SL,92.81,112.32,89.93,56.54,entsoe.eu,false,
2024-01-02 21:00:00,Slovenia,Slovenia,SL,112.83,133.09,87.88,51.16,entsoe.eu,false,
2024-01-02 22:00:00,Slovenia,Slovenia,SL,131.92,153.1,86.07,47.61,entsoe.eu,false,
