Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,PJM,US-MIDA-PJM,319.89,388.43,42.56,9.04,pjm.com,false,
2024-01-01 01:00:00,USA,PJM,US-MIDA-PJM,319.48,387.89,42.62,8.49,pjm.com,false,
2024-01-01 02:00:00,USA,PJM,US-MIDA-PJM,322.04,390.81,42.09,7.04,pjm.com,false,
2024-01-01 03:00:00,USA,PJM,US-MIDA-PJM,318.6,386.97,42.53,6.66,pjm.com,false,
2024-01-01 04:00:00,USA,PJM,US-MIDA-PJM,319.14,387.79,42.29,6.22,pjm.com,false,
2024-01-01 05:00:00,USA,PJM,US-MIDA-PJM,318.09,386.36,42.61,5.95,pjm.com,false,
2024-01-01 06:00:00,USA,PJM,US-MIDA-PJM,318.63,387.0,42.51,5.67,pjm.com,false,
2024-01-01 07:00:00,USA,PJM,US-MIDA-PJM,313.84,381.63,43.2,5.65,pjm.com,false,
2024-01-01 08:00:00,USA,PJM,US-MIDA-PJM,312.05,380.06,43.13,5.59,pjm.com,false,
2024-01-01 09:00:00,USA,PJM,US-MIDA-PJM,309.94,377.73,43.4,5.51,pjm.com,false,
2024-01-01 10:00:00,USA,PJM,US-MIDA-PJM,312.39,380.57,43.0,5.38,pjm.com,false,
2024-01-01 11:00:00,USA,PJM,US-MIDA-PJM,312.77,380.95,43.01,5.51,pjm.com,false,
2024-01-01 12:00:00,USA,PJM,US-MIDA-PJM,314.7,383.12,42.76,5.64,pjm.com,false,
2024-01-01 13:00:00,USA,PJM,US-MIDA-PJM,318.62,387.79,42.03,5.38,pjm.com,false,
2024-01-01 14:00:00,USA,PJM,US-MIDA-PJM,319.34,388.76,41.87,5.68,pjm.com,false,
2024-01-01 15:00:00,USA,PJM,US-MIDA-PJM,324.38,394.19,41.35,5.62,pjm.com,false,
2024-01-01 16:00:00,USA,PJM,US-MIDA-PJM,326.67,396.57,41.2,5.83,pjm.com,false,
2024-01-01 17:00:00,USA,PJM,US-MIDA-PJM,330.02,400.23,40.78,5.51,pjm.com,false,
2024-01-01 18:00:00,USA,PJM,US-MIDA-PJM,335.47,406.47,39.88,5.13,pjm.com,false,
2024-01-01 19:00:00,USA,PJM,US-MIDA-PJM,335.86,407.12,39.63,5.07,pjm.com,false,
2024-01-01 20:00:00,USA,PJM,US-MIDA-PJM,335.86,407.24,39.56,5.35,pjm.com,false,
2024-01-01 21:00:00,USA,PJM,US-MIDA-PJM,338.53,410.55,38.95,5.58,pjm.com,false,
2024-01-01 22:00:00,USA,PJM,US-MIDA-PJM,340.76,413.39,38.45,6.39,pjm.com,false,
2024-01-01 23:00:00,USA,PJM,US-MIDA-PJM,337.99,410.5,38.74,6.87,pjm.com,false,
2024-01-02 00:00:00,USA,PJM,US-MIDA-PJM,336.65,409.24,38.69,6.25,pjm.com,false,
2024-01-02 01:00:00,USA,PJM,US-MIDA-PJM,339.3,412.2,38.25,5.49,pjm.com,false,
2024-01-02 02:00:00,USA,PJM,US-MIDA-PJM,341.67,414.43,38.19,4.93,pjm.com,false,
